,country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_case_per_mn,deaths_per_mn,total_test,tests_per_mn,countinent
9,USA,"653,751","+5,603","33,434 ",+846,"56,618","563,699","13,536","1,975",101,"3,299,467","9,968",North America
10,Spain,"182,816","+2,157","19,130 ",+318,"74,797","88,889","7,371","3,910",409,"930,230","19,896",Europe
11,Italy,"168,941","+3,786","22,170 ",+525,"40,164","106,607","2,936","2,794",367,"1,178,403","19,490",Europe
12,France,"147,863",,"17,167 ",,"30,955","99,741","6,457","2,265",263,"333,807","5,114",Europe
13,Germany,"135,663",+910,"3,867 ",+63,"77,000","54,796","4,288","1,619",46,"1,728,357","20,629",Europe
14,UK,"103,093","+4,617","13,729 ",+861,N/A,"89,020","1,559","1,519",202,"417,649","6,152",Europe
15,Iran,"77,995","+1,606","4,869 ",+92,"52,229","20,897","3,594",929,58,"310,340","3,695",Asia
16,Turkey,"74,193","+4,801","1,643 ",+125,"7,089","65,461","1,854",880,19,"518,143","6,144",Asia
17,Belgium,"34,809","+1,236","4,857 ",+417,"7,562","22,390","1,182","3,003",419,"134,303","11,588",Europe
18,Netherlands,"29,214","+1,061","3,315 ",+181,250,"25,649","1,279","1,705",193,"147,948","8,634",Europe
19,Brazil,"29,165",+555,"1,764 ",+7,"14,026","13,375","6,634",137,8,"62,985",296,South America
20,Canada,"28,923",+544,"1,048 ",+38,"9,271","18,604",557,766,28,"467,736","12,393",North America
21,Russia,"27,938","+3,448",232 ,+34,"2,304","25,402",8,191,2,"1,613,413","11,056",Europe
22,Switzerland,"26,732",+396,"1,281 ",+42,"15,400","10,051",386,"3,089",148,"206,400","23,849",Europe
23,Portugal,"18,841",+750,629 ,+30,493,"17,719",229,"1,848",62,"208,314","20,430",Europe
24,Austria,"14,462",+112,393 ,,"8,986","5,083",232,"1,606",44,"162,816","18,078",Europe
25,India,"12,759",+389,423 ,+1,"1,514","10,822",,9,0.3,"274,599",199,Asia
26,Israel,"12,591",+90,140 ,+10,"2,624","9,827",174,"1,455",16,"187,250","21,634",Asia
