,date,confirmed,deaths,recovered
2020-01-31,2020-01-31,2.0,0.0,0.0
2020-02-01,2020-02-01,2.0,0.0,0.0
2020-02-02,2020-02-02,2.0,0.0,0.0
2020-02-03,2020-02-03,2.0,0.0,0.0
2020-02-04,2020-02-04,2.0,0.0,0.0
2020-02-05,2020-02-05,2.0,0.0,0.0
2020-02-06,2020-02-06,2.0,0.0,0.0
2020-02-07,2020-02-07,2.0,0.0,0.0
2020-02-08,2020-02-08,2.0,0.0,0.0
2020-02-09,2020-02-09,2.0,0.0,0.0
2020-02-10,2020-02-10,2.0,0.0,0.0
2020-02-11,2020-02-11,2.0,0.0,0.0
2020-02-12,2020-02-12,2.0,0.0,2.0
2020-02-13,2020-02-13,2.0,0.0,2.0
2020-02-14,2020-02-14,2.0,0.0,2.0
2020-02-15,2020-02-15,2.0,0.0,2.0
2020-02-16,2020-02-16,2.0,0.0,2.0
2020-02-17,2020-02-17,2.0,0.0,2.0
2020-02-18,2020-02-18,2.0,0.0,2.0
2020-02-19,2020-02-19,2.0,0.0,2.0
2020-02-20,2020-02-20,2.0,0.0,2.0
2020-02-21,2020-02-21,2.0,0.0,2.0
2020-02-22,2020-02-22,2.0,0.0,2.0
2020-02-23,2020-02-23,2.0,0.0,2.0
2020-02-24,2020-02-24,2.0,0.0,2.0
2020-02-25,2020-02-25,2.0,0.0,2.0
2020-02-26,2020-02-26,2.0,0.0,2.0
2020-02-27,2020-02-27,2.0,0.0,2.0
2020-02-28,2020-02-28,2.0,0.0,2.0
2020-02-29,2020-02-29,2.0,0.0,2.0
2020-03-01,2020-03-01,2.0,0.0,2.0
2020-03-02,2020-03-02,3.0,0.0,2.0
2020-03-03,2020-03-03,3.0,0.0,2.0
2020-03-04,2020-03-04,3.0,0.0,2.0
2020-03-05,2020-03-05,4.0,0.0,2.0
2020-03-06,2020-03-06,13.0,0.0,2.0
2020-03-07,2020-03-07,13.0,0.0,2.0
2020-03-08,2020-03-08,17.0,0.0,3.0
2020-03-09,2020-03-09,17.0,0.0,3.0
2020-03-11,2020-03-11,20.0,0.0,3.0
2020-03-12,2020-03-12,28.0,0.0,3.0
2020-03-13,2020-03-13,45.0,0.0,3.0
2020-03-14,2020-03-14,59.0,0.0,8.0
2020-03-15,2020-03-15,63.0,0.0,8.0
2020-03-16,2020-03-16,90.0,0.0,8.0
2020-03-17,2020-03-17,114.0,0.0,8.0
2020-03-18,2020-03-18,147.0,0.0,8.0
2020-03-19,2020-03-19,199.0,1.0,9.0
2020-03-20,2020-03-20,253.0,1.0,9.0
2020-03-21,2020-03-21,306.0,1.0,12.0
2020-03-22,2020-03-22,367.0,1.0,16.0
2020-03-23,2020-03-23,438.0,1.0,17.0
2020-03-24,2020-03-24,495.0,1.0,22.0
2020-03-25,2020-03-25,658.0,3.0,29.0
2020-03-26,2020-03-26,840.0,3.0,38.0
2020-03-27,2020-03-27,1036.0,4.0,45.0
2020-03-28,2020-03-28,1264.0,4.0,49.0
2020-03-29,2020-03-29,1534.0,8.0,64.0
2020-03-30,2020-03-30,1836.0,9.0,66.0
2020-03-31,2020-03-31,2337.0,17.0,121.0
2020-04-01,2020-04-01,2777.0,24.0,190.0
2020-04-02,2020-04-02,3548.0,30.0,235.0
2020-04-03,2020-04-03,4149.0,34.0,281.0
2020-04-04,2020-04-04,4731.0,43.0,333.0
2020-04-05,2020-04-05,5389.0,45.0,355.0
2020-04-06,2020-04-06,6343.0,47.0,406.0
2020-04-07,2020-04-07,7497.0,58.0,494.0
2020-04-08,2020-04-08,8672.0,63.0,580.0
2020-04-09,2020-04-09,10131.0,76.0,698.0
2020-04-10,2020-04-10,11917.0,94.0,795.0
2020-04-11,2020-04-11,13584.0,106.0,1045.0
2020-04-12,2020-04-12,15770.0,130.0,1291.0
2020-04-13,2020-04-13,18328.0,148.0,1470.0
2020-04-14,2020-04-14,21102.0,170.0,1694.0
2020-04-15,2020-04-15,24490.0,198.0,1986.0
2020-04-16,2020-04-16,27938.0,232.0,2304.0
2020-04-17,2020-04-17,32008.0,273.0,2590.0
