country,confirmed,deaths,recovered
US,1622612.0,97087.0,361239.0
UK,258504.0,36757.0,1149.0
Italy,229327.0,32735.0,138840.0
Spain,235290.0,28678.0,150376.0
France,182036.0,28218.0,63988.0
Brazil,347398.0,22013.0,142587.0
Belgium,56810.0,9237.0,15155.0
Germany,179986.0,8261.0,159716.0
Iran,133521.0,7359.0,104072.0
Mexico,65856.0,7179.0,44424.0
Canada,85151.0,6466.0,43318.0
Netherlands,45265.0,5830.0,174.0
China,84084.0,4638.0,79335.0
Turkey,155686.0,4308.0,117602.0
Sweden,33188.0,3992.0,4971.0
India,131423.0,3868.0,54385.0
Russia,335882.0,3388.0,107936.0
Peru,115754.0,3373.0,47915.0
Ecuador,36258.0,3096.0,3557.0
Switzerland,30725.0,1905.0,28000.0
Ireland,24582.0,1604.0,21060.0
Indonesia,21745.0,1351.0,5249.0
Portugal,30471.0,1302.0,7705.0
Romania,17857.0,1176.0,11187.0
Pakistan,52437.0,1101.0,16653.0
Poland,20931.0,993.0,8977.0
Philippines,13777.0,863.0,3177.0
Japan,16536.0,808.0,13244.0
Egypt,16513.0,735.0,4628.0
Colombia,20177.0,705.0,4718.0
Chile,65393.0,673.0,26546.0
Austria,16486.0,639.0,15037.0
Ukraine,20580.0,605.0,6929.0
Algeria,8113.0,592.0,4426.0
Denmark,11487.0,561.0,10034.0
Hungary,3713.0,482.0,1655.0
Dominican Republic,14422.0,458.0,7854.0
Bangladesh,32078.0,452.0,6486.0
Argentina,11353.0,445.0,3530.0
South Africa,21343.0,407.0,10104.0
Saudi Arabia,70161.0,379.0,41236.0
Czechia,8890.0,314.0,6044.0
Finland,6568.0,306.0,4800.0
Panama,10577.0,299.0,6279.0
Israel,16712.0,279.0,14090.0
"Korea, South",11190.0,266.0,10213.0
United Arab Emirates,28704.0,244.0,14495.0
Moldova,6994.0,242.0,3452.0
Bolivia,5915.0,240.0,609.0
Serbia,11092.0,238.0,5699.0
Norway,8346.0,235.0,7727.0
Nigeria,7526.0,221.0,2174.0
Afghanistan,9998.0,216.0,1040.0
Morocco,7406.0,198.0,4638.0
Belarus,35244.0,194.0,13528.0
Greece,2876.0,171.0,1374.0
Honduras,3477.0,167.0,439.0
Cameroon,4400.0,159.0,1822.0
Iraq,4272.0,152.0,2585.0
Kuwait,20464.0,148.0,5747.0
Sudan,3628.0,146.0,424.0
Bosnia and Herzegovina,2391.0,141.0,1662.0
Bulgaria,2408.0,126.0,808.0
Malaysia,7185.0,115.0,5912.0
North Macedonia,1941.0,113.0,1411.0
Luxembourg,3990.0,109.0,3758.0
Slovenia,1468.0,106.0,1340.0
Australia,7114.0,102.0,6508.0
Croatia,2243.0,99.0,2023.0
Cuba,1931.0,81.0,1671.0
Armenia,6302.0,77.0,2936.0
Estonia,1821.0,64.0,1526.0
Lithuania,1616.0,63.0,1135.0
Mali,1015.0,63.0,574.0
Congo (Kinshasa),2025.0,63.0,312.0
Niger,943.0,61.0,775.0
Somalia,1594.0,61.0,204.0
Chad,648.0,60.0,204.0
Thailand,3040.0,56.0,2916.0
Guatemala,3054.0,55.0,244.0
