country,confirmed,deaths,recovered
US,988197.0,56259.0,111424.0
Italy,199414.0,26977.0,66624.0
Spain,229422.0,23521.0,120832.0
France,165963.0,23327.0,46293.0
UK,158348.0,21157.0,807.0
Belgium,46687.0,7207.0,10878.0
Germany,158758.0,6126.0,114500.0
Iran,91472.0,5806.0,70933.0
China,83918.0,4637.0,78374.0
Brazil,67446.0,4603.0,31142.0
Netherlands,38440.0,4534.0,117.0
Turkey,112261.0,2900.0,33791.0
Canada,49616.0,2841.0,18268.0
Sweden,18926.0,2274.0,1005.0
Switzerland,29164.0,1665.0,22200.0
Mexico,15529.0,1434.0,9086.0
Ireland,19648.0,1102.0,9233.0
India,29451.0,939.0,7137.0
Portugal,24027.0,928.0,1357.0
Russia,87147.0,794.0,7346.0
Peru,28699.0,782.0,8425.0
Indonesia,9096.0,765.0,1151.0
Ecuador,23240.0,663.0,1557.0
Romania,11339.0,641.0,3141.0
Poland,11902.0,562.0,2466.0
Austria,15274.0,549.0,12362.0
Philippines,7777.0,511.0,932.0
Algeria,3517.0,432.0,1558.0
Denmark,8896.0,427.0,6148.0
Japan,14153.0,385.0,1899.0
Egypt,4782.0,337.0,1236.0
Pakistan,13915.0,292.0,3029.0
Dominican Republic,6293.0,282.0,993.0
Hungary,2583.0,280.0,498.0
Colombia,5597.0,253.0,1210.0
"Korea, South",10752.0,244.0,8854.0
Czechia,7445.0,223.0,2826.0
Ukraine,9009.0,220.0,864.0
Norway,7599.0,205.0,32.0
Israel,15555.0,204.0,7200.0
Chile,13813.0,198.0,7327.0
Argentina,4003.0,197.0,1140.0
Finland,4695.0,193.0,2500.0
Panama,6021.0,167.0,455.0
Morocco,4120.0,162.0,695.0
Bangladesh,5913.0,152.0,131.0
Saudi Arabia,18811.0,144.0,2531.0
Greece,2534.0,136.0,577.0
Serbia,6630.0,125.0,870.0
Moldova,3481.0,102.0,925.0
Malaysia,5820.0,99.0,3957.0
South Africa,4793.0,90.0,1473.0
Iraq,1847.0,88.0,1286.0
Luxembourg,3729.0,88.0,3123.0
Slovenia,1402.0,83.0,221.0
Australia,6721.0,83.0,5588.0
United Arab Emirates,10839.0,82.0,2090.0
Belarus,11289.0,75.0,1740.0
North Macedonia,1399.0,65.0,553.0
Honduras,661.0,61.0,79.0
Bosnia and Herzegovina,1565.0,60.0,659.0
Croatia,2039.0,59.0,1166.0
Cameroon,1705.0,58.0,805.0
Bulgaria,1363.0,58.0,206.0
Afghanistan,1703.0,57.0,220.0
Cuba,1389.0,56.0,525.0
Bolivia,1014.0,53.0,98.0
Thailand,2931.0,52.0,2609.0
Estonia,1647.0,50.0,233.0
Burkina Faso,635.0,42.0,469.0
Lithuania,1449.0,41.0,474.0
San Marino,538.0,41.0,64.0
Nigeria,1337.0,40.0,255.0
Andorra,743.0,40.0,385.0
Tunisia,967.0,39.0,279.0
Armenia,1808.0,29.0,848.0
Niger,701.0,29.0,385.0
Albania,736.0,28.0,422.0
Congo (Kinshasa),459.0,28.0,50.0
Somalia,480.0,26.0,10.0
