,date,confirmed,deaths,recovered
0,01-30-2020,1.0,0.0,0.0
1,01-31-2020,1.0,0.0,0.0
2,02-01-2020,1.0,0.0,0.0
3,02-02-2020,2.0,0.0,0.0
4,02-03-2020,3.0,0.0,0.0
5,02-04-2020,3.0,0.0,0.0
6,02-05-2020,3.0,0.0,0.0
7,02-06-2020,3.0,0.0,0.0
8,02-07-2020,3.0,0.0,0.0
9,02-08-2020,3.0,0.0,0.0
10,02-09-2020,3.0,0.0,0.0
11,02-10-2020,3.0,0.0,0.0
12,02-11-2020,3.0,0.0,0.0
13,02-12-2020,3.0,0.0,0.0
14,02-13-2020,3.0,0.0,0.0
15,02-14-2020,3.0,0.0,0.0
16,02-15-2020,3.0,0.0,0.0
17,02-16-2020,3.0,0.0,3.0
18,02-17-2020,3.0,0.0,3.0
19,02-18-2020,3.0,0.0,3.0
20,02-19-2020,3.0,0.0,3.0
21,02-20-2020,3.0,0.0,3.0
22,02-21-2020,3.0,0.0,3.0
23,02-22-2020,3.0,0.0,3.0
24,02-23-2020,3.0,0.0,3.0
25,02-24-2020,3.0,0.0,3.0
26,02-25-2020,3.0,0.0,3.0
27,02-26-2020,3.0,0.0,3.0
28,02-27-2020,3.0,0.0,3.0
29,02-28-2020,3.0,0.0,3.0
30,02-29-2020,3.0,0.0,3.0
31,03-01-2020,3.0,0.0,3.0
32,03-02-2020,5.0,0.0,3.0
33,03-03-2020,5.0,0.0,3.0
34,03-04-2020,28.0,0.0,3.0
35,03-05-2020,30.0,0.0,3.0
36,03-06-2020,31.0,0.0,3.0
37,03-07-2020,34.0,0.0,3.0
38,03-08-2020,39.0,0.0,3.0
39,03-09-2020,43.0,0.0,3.0
40,03-10-2020,56.0,0.0,4.0
41,03-11-2020,62.0,1.0,4.0
42,03-12-2020,73.0,1.0,4.0
43,03-13-2020,82.0,2.0,4.0
44,03-14-2020,102.0,2.0,4.0
45,03-15-2020,113.0,2.0,13.0
46,03-16-2020,119.0,2.0,13.0
47,03-17-2020,142.0,3.0,14.0
48,03-18-2020,156.0,3.0,14.0
49,03-19-2020,194.0,4.0,15.0
50,03-20-2020,244.0,5.0,20.0
51,03-21-2020,330.0,4.0,23.0
52,03-22-2020,396.0,7.0,24.0
53,03-23-2020,499.0,10.0,34.0
54,03-24-2020,536.0,10.0,40.0
55,03-25-2020,657.0,12.0,43.0
56,03-26-2020,727.0,20.0,45.0
57,03-27-2020,887.0,20.0,73.0
58,03-28-2020,987.0,24.0,84.0
59,03-29-2020,1024.0,27.0,95.0
60,03-30-2020,1251.0,32.0,102.0
61,03-31-2020,1397.0,35.0,123.0
62,04-01-2020,1998.0,58.0,148.0
63,04-02-2020,2543.0,72.0,191.0
64,04-03-2020,2567.0,72.0,192.0
65,04-04-2020,3082.0,86.0,229.0
66,04-05-2020,3588.0,99.0,229.0
67,04-06-2020,4778.0,136.0,375.0
68,04-07-2020,5311.0,150.0,421.0
69,04-08-2020,5916.0,178.0,506.0
