date,confirmed,deaths,recovered
2020-01-24,2.0,,
2020-01-25,3.0,,
2020-01-26,3.0,,
2020-01-27,3.0,,
2020-01-28,4.0,,
2020-01-29,5.0,,
2020-01-30,5.0,,
2020-01-31,5.0,,
2020-02-01,6.0,0.0,0.0
2020-02-02,6.0,0.0,0.0
2020-02-03,6.0,0.0,0.0
2020-02-04,6.0,0.0,0.0
2020-02-05,6.0,0.0,0.0
2020-02-06,6.0,0.0,0.0
2020-02-07,6.0,0.0,0.0
2020-02-08,11.0,0.0,0.0
2020-02-09,11.0,0.0,0.0
2020-02-10,11.0,0.0,0.0
2020-02-11,11.0,0.0,0.0
2020-02-12,11.0,0.0,2.0
2020-02-13,11.0,0.0,2.0
2020-02-14,11.0,0.0,2.0
2020-02-15,12.0,1.0,4.0
2020-02-16,12.0,1.0,4.0
2020-02-17,12.0,1.0,4.0
2020-02-18,12.0,1.0,4.0
2020-02-19,12.0,1.0,4.0
2020-02-20,12.0,1.0,4.0
2020-02-21,12.0,1.0,4.0
2020-02-22,12.0,1.0,4.0
2020-02-23,12.0,1.0,4.0
2020-02-24,12.0,1.0,4.0
2020-02-25,14.0,1.0,11.0
2020-02-26,18.0,2.0,11.0
2020-02-27,38.0,2.0,11.0
2020-02-28,57.0,2.0,11.0
2020-02-29,100.0,2.0,12.0
2020-03-01,130.0,2.0,12.0
2020-03-02,191.0,3.0,12.0
2020-03-03,204.0,4.0,12.0
2020-03-04,285.0,4.0,12.0
2020-03-05,377.0,6.0,12.0
2020-03-06,653.0,9.0,12.0
2020-03-07,949.0,11.0,12.0
2020-03-08,1126.0,19.0,12.0
2020-03-09,1209.0,19.0,12.0
2020-03-10,1784.0,33.0,12.0
2020-03-11,2284.0,48.0,12.0
2020-03-12,2284.0,48.0,12.0
2020-03-13,3667.0,79.0,12.0
2020-03-14,4480.0,91.0,12.0
2020-03-15,4513.0,91.0,12.0
2020-03-16,6650.0,148.0,12.0
2020-03-17,7683.0,148.0,12.0
2020-03-18,9052.0,148.0,12.0
2020-03-19,10886.0,243.0,12.0
2020-03-20,12632.0,450.0,12.0
2020-03-21,14308.0,562.0,12.0
2020-03-22,16214.0,676.0,2201.0
2020-03-23,20123.0,862.0,2207.0
2020-03-24,22622.0,1102.0,3288.0
2020-03-25,25600.0,1333.0,3907.0
2020-03-26,29551.0,1698.0,4955.0
2020-03-27,33402.0,1997.0,5707.0
2020-03-28,38105.0,2317.0,5724.0
2020-03-29,40708.0,2611.0,7226.0
2020-03-30,45170.0,3030.0,7964.0
2020-03-31,52827.0,3532.0,9513.0
2020-04-01,57749.0,4043.0,11053.0
2020-04-02,59929.0,5398.0,12548.0
2020-04-03,65202.0,6520.0,14135.0
2020-04-04,90848.0,7574.0,15572.0
2020-04-05,93773.0,8093.0,16349.0
2020-04-06,98963.0,8926.0,17428.0
2020-04-07,110065.0,10343.0,19523.0
2020-04-08,113959.0,10887.0,21452.0
2020-04-09,118781.0,12228.0,23413.0
2020-04-10,125931.0,13215.0,25195.0
2020-04-11,130727.0,13851.0,26663.0
2020-04-12,133670.0,14412.0,27469.0
