date,confirmed,deaths,recovered
2020-02-19,2.0,2.0,0.0
2020-02-20,5.0,2.0,0.0
2020-02-21,18.0,4.0,0.0
2020-02-22,28.0,5.0,0.0
2020-02-23,43.0,8.0,0.0
2020-02-24,61.0,12.0,0.0
2020-02-25,95.0,16.0,0.0
2020-02-26,139.0,19.0,49.0
2020-02-27,245.0,26.0,49.0
2020-02-28,388.0,34.0,73.0
2020-02-29,593.0,43.0,123.0
2020-03-01,978.0,54.0,175.0
2020-03-02,1501.0,66.0,291.0
2020-03-03,2336.0,77.0,291.0
2020-03-04,2922.0,92.0,552.0
2020-03-05,3513.0,107.0,739.0
2020-03-06,4747.0,124.0,913.0
2020-03-07,5823.0,145.0,1669.0
2020-03-08,6566.0,194.0,2134.0
2020-03-09,7161.0,237.0,2394.0
2020-03-11,9000.0,354.0,2959.0
2020-03-12,10075.0,429.0,2959.0
2020-03-13,11364.0,514.0,2959.0
2020-03-14,12729.0,611.0,2959.0
2020-03-15,13938.0,724.0,4590.0
2020-03-16,14991.0,853.0,4590.0
2020-03-17,16169.0,988.0,5389.0
2020-03-18,17361.0,1135.0,5389.0
2020-03-19,18407.0,1284.0,5710.0
2020-03-20,19644.0,1433.0,6745.0
2020-03-21,20610.0,1556.0,7635.0
2020-03-22,21638.0,1685.0,7635.0
2020-03-23,23049.0,1812.0,8376.0
2020-03-24,24811.0,1934.0,8913.0
2020-03-25,27017.0,2077.0,9625.0
2020-03-26,29406.0,2234.0,10457.0
2020-03-27,32332.0,2378.0,11133.0
2020-03-28,35408.0,2517.0,11679.0
2020-03-29,38309.0,2640.0,12391.0
2020-03-30,41495.0,2757.0,13911.0
2020-03-31,44605.0,2898.0,14656.0
2020-04-01,47593.0,3036.0,15473.0
2020-04-02,50468.0,3160.0,16711.0
2020-04-03,53183.0,3294.0,17935.0
2020-04-04,55743.0,3452.0,19736.0
2020-04-05,58226.0,3603.0,19736.0
2020-04-06,60500.0,3739.0,24236.0
2020-04-07,62589.0,3872.0,27039.0
2020-04-08,64586.0,3993.0,29812.0
2020-04-09,66220.0,4110.0,32309.0
2020-04-10,68192.0,4232.0,35465.0
2020-04-11,70029.0,4357.0,41947.0
2020-04-12,71686.0,4474.0,43894.0
2020-04-13,73303.0,4585.0,45983.0
2020-04-14,74877.0,4683.0,48129.0
