date,confirmed,deaths,recovered
2020-01-31,2.0,,
2020-02-01,2.0,0.0,0.0
2020-02-02,2.0,0.0,0.0
2020-02-03,2.0,0.0,0.0
2020-02-04,2.0,0.0,0.0
2020-02-05,2.0,0.0,0.0
2020-02-06,2.0,0.0,0.0
2020-02-07,3.0,0.0,0.0
2020-02-08,3.0,0.0,0.0
2020-02-09,3.0,0.0,0.0
2020-02-10,8.0,0.0,0.0
2020-02-11,8.0,0.0,0.0
2020-02-12,9.0,0.0,1.0
2020-02-13,9.0,0.0,1.0
2020-02-14,9.0,0.0,1.0
2020-02-15,9.0,0.0,1.0
2020-02-16,9.0,0.0,8.0
2020-02-17,9.0,0.0,8.0
2020-02-18,9.0,0.0,8.0
2020-02-19,9.0,0.0,8.0
2020-02-20,9.0,0.0,8.0
2020-02-21,9.0,0.0,8.0
2020-02-22,9.0,0.0,8.0
2020-02-23,9.0,0.0,8.0
2020-02-24,13.0,0.0,8.0
2020-02-25,13.0,0.0,8.0
2020-02-26,13.0,0.0,8.0
2020-02-27,15.0,0.0,8.0
2020-02-28,20.0,0.0,8.0
2020-02-29,23.0,0.0,8.0
2020-03-01,36.0,0.0,8.0
2020-03-02,40.0,0.0,8.0
2020-03-03,51.0,0.0,8.0
2020-03-04,85.0,0.0,8.0
2020-03-05,115.0,1.0,8.0
2020-03-06,163.0,2.0,8.0
2020-03-07,206.0,2.0,18.0
2020-03-08,273.0,3.0,18.0
2020-03-09,321.0,4.0,18.0
2020-03-10,382.0,6.0,18.0
2020-03-11,459.0,8.0,19.0
2020-03-12,459.0,8.0,19.0
2020-03-13,801.0,8.0,19.0
2020-03-14,1143.0,21.0,19.0
2020-03-15,1144.0,21.0,19.0
2020-03-16,1551.0,56.0,21.0
2020-03-17,1960.0,56.0,53.0
2020-03-18,2642.0,72.0,67.0
2020-03-19,2716.0,138.0,67.0
2020-03-20,4014.0,178.0,67.0
2020-03-21,5067.0,234.0,67.0
2020-03-22,5741.0,282.0,95.0
2020-03-23,6726.0,336.0,140.0
2020-03-24,8164.0,423.0,140.0
2020-03-25,9640.0,466.0,140.0
2020-03-26,11812.0,580.0,150.0
2020-03-27,14745.0,761.0,151.0
2020-03-28,17312.0,1021.0,151.0
2020-03-29,19780.0,1231.0,151.0
2020-03-30,22453.0,1411.0,171.0
2020-03-31,25481.0,1793.0,179.0
2020-04-01,29865.0,2357.0,179.0
2020-04-02,34173.0,2926.0,192.0
2020-04-03,38689.0,3611.0,208.0
2020-04-04,42477.0,4320.0,215.0
2020-04-05,48436.0,4943.0,229.0
2020-04-06,52279.0,5385.0,287.0
2020-04-07,55949.0,6171.0,325.0
2020-04-08,61474.0,7111.0,345.0
2020-04-09,65872.0,7993.0,359.0
2020-04-10,74605.0,8974.0,588.0
2020-04-11,79874.0,9892.0,622.0
2020-04-12,85206.0,10629.0,626.0
2020-04-13,89570.0,11347.0,304.0
2020-04-14,94845.0,12129.0,323.0
