,date,country,confirmed,deaths,recovered
0,02-26-2020,Mainland China,78065,2715,30053
1,02-26-2020,South Korea,1261,12,22
2,02-26-2020,Others,705,4,10
3,02-26-2020,Italy,453,12,3
4,02-26-2020,Japan,189,2,22
5,02-26-2020,Iran,139,19,49
6,02-26-2020,Singapore,93,0,62
7,02-26-2020,Hong Kong,91,2,24
8,02-26-2020,US,59,0,6
9,02-26-2020,Thailand,40,0,22
10,02-26-2020,Bahrain,33,0,0
11,02-26-2020,Taiwan,32,1,5
12,02-26-2020,Germany,27,0,15
13,02-26-2020,Kuwait,26,0,0
14,02-26-2020,Malaysia,22,0,18
15,02-26-2020,France,18,2,11
16,02-26-2020,Vietnam,16,0,16
17,02-26-2020,Spain,13,0,2
18,02-26-2020,UK,13,0,8
19,02-26-2020,United Arab Emirates,13,0,4
20,02-26-2020,Macau,10,0,7
21,02-26-2020,Australia,22,0,11
22,02-26-2020,Canada,11,0,3
23,02-26-2020,Iraq,5,0,0
24,02-26-2020,Oman,4,0,0
25,02-26-2020,Croatia,3,0,0
26,02-26-2020,India,3,0,3
27,02-26-2020,Philippines,3,1,1
28,02-26-2020,Austria,2,0,0
29,02-26-2020,Finland,2,0,1
30,02-26-2020,Israel,2,0,0
31,02-26-2020,Lebanon,2,0,0
32,02-26-2020,Pakistan,2,0,0
33,02-26-2020,Russia,2,0,2
34,02-26-2020,Sweden,2,0,0
35,02-26-2020,Afghanistan,1,0,0
36,02-26-2020,Algeria,1,0,0
37,02-26-2020,Belgium,1,0,1
38,02-26-2020,Brazil,1,0,0
39,02-26-2020,Cambodia,1,0,1
40,02-26-2020,Egypt,1,0,0
41,02-26-2020,Georgia,1,0,0
42,02-26-2020,Greece,1,0,0
43,02-26-2020,Nepal,1,0,1
44,02-26-2020,North Macedonia,1,0,0
45,02-26-2020,Norway,1,0,0
46,02-26-2020,Romania,1,0,0
47,02-26-2020,Sri Lanka,1,0,1
48,02-26-2020,Switzerland,1,0,0
49,02-27-2020,Mainland China,78498,2744,32898
50,02-27-2020,South Korea,1766,13,22
51,02-27-2020,Others,705,4,10
52,02-27-2020,Italy,655,17,45
53,02-27-2020,Iran,245,26,49
54,02-27-2020,Japan,214,4,22
55,02-27-2020,Singapore,93,0,62
56,02-27-2020,Hong Kong,92,2,24
57,02-27-2020,Germany,46,0,16
58,02-27-2020,Kuwait,43,0,0
59,02-27-2020,US,60,0,6
60,02-27-2020,Thailand,40,0,22
61,02-27-2020,France,38,2,11
62,02-27-2020,Bahrain,33,0,0
63,02-27-2020,Taiwan,32,1,5
64,02-27-2020,Malaysia,23,0,18
65,02-27-2020,Vietnam,16,0,16
66,02-27-2020,Spain,15,0,2
67,02-27-2020,UK,15,0,8
68,02-27-2020,United Arab Emirates,13,0,4
69,02-27-2020,Macau,10,0,8
70,02-27-2020,Australia,23,0,11
71,02-27-2020,Switzerland,8,0,0
72,02-27-2020,Canada,13,0,6
73,02-27-2020,Iraq,7,0,0
74,02-27-2020,Sweden,7,0,0
75,02-27-2020,Oman,4,0,0
76,02-27-2020,Austria,3,0,0
77,02-27-2020,Croatia,3,0,0
78,02-27-2020,Greece,3,0,0
79,02-27-2020,India,3,0,3
80,02-27-2020,Israel,3,0,1
81,02-27-2020,Philippines,3,1,1
82,02-27-2020,Finland,2,0,1
83,02-27-2020,Lebanon,2,0,0
84,02-27-2020,Pakistan,2,0,0
85,02-27-2020,Russia,2,0,2
86,02-27-2020,Afghanistan,1,0,0
87,02-27-2020,Algeria,1,0,0
88,02-27-2020,Belgium,1,0,1
89,02-27-2020,Brazil,1,0,0
90,02-27-2020,Cambodia,1,0,1
91,02-27-2020,Denmark,1,0,0
92,02-27-2020,Egypt,1,0,0
93,02-27-2020,Estonia,1,0,0
94,02-27-2020,Georgia,1,0,0
95,02-27-2020,Nepal,1,0,1
96,02-27-2020,Netherlands,1,0,0
97,02-27-2020,North Macedonia,1,0,0
98,02-27-2020,Norway,1,0,0
99,02-27-2020,Romania,1,0,0
100,02-27-2020,San Marino,1,0,0
101,02-27-2020,Sri Lanka,1,0,1
102,02-18-2020,Mainland China,74139,2002,14199
103,02-18-2020,Others,542,0,0
104,02-18-2020,Singapore,81,0,29
105,02-18-2020,Japan,74,1,13
106,02-18-2020,Hong Kong,62,1,2
107,02-18-2020,Thailand,35,0,15
108,02-18-2020,South Korea,31,0,12
109,02-18-2020,Malaysia,22,0,13
110,02-18-2020,Taiwan,22,1,2
111,02-18-2020,Germany,16,0,12
112,02-18-2020,Vietnam,16,0,7
113,02-18-2020,France,12,1,4
114,02-18-2020,Macau,10,0,5
115,02-18-2020,UK,9,0,8
116,02-18-2020,United Arab Emirates,9,0,4
117,02-18-2020,Australia,15,0,10
118,02-18-2020,Canada,8,0,1
119,02-18-2020,India,3,0,3
120,02-18-2020,Italy,3,0,0
121,02-18-2020,Philippines,3,1,1
122,02-18-2020,Russia,2,0,2
123,02-18-2020,Spain,2,0,2
124,02-18-2020,US,15,0,3
125,02-18-2020,Belgium,1,0,1
126,02-18-2020,Cambodia,1,0,1
127,02-18-2020,Egypt,1,0,0
128,02-18-2020,Finland,1,0,1
129,02-18-2020,Nepal,1,0,1
130,02-18-2020,Sri Lanka,1,0,1
131,02-18-2020,Sweden,1,0,0
132,02-19-2020,Mainland China,74546,2114,15952
133,02-19-2020,Others,621,0,1
134,02-19-2020,Japan,84,1,18
135,02-19-2020,Singapore,84,0,34
136,02-19-2020,Hong Kong,63,2,5
137,02-19-2020,Thailand,35,0,15
138,02-19-2020,South Korea,31,0,12
139,02-19-2020,Taiwan,23,1,2
140,02-19-2020,Malaysia,22,0,15
141,02-19-2020,Germany,16,0,12
142,02-19-2020,Vietnam,16,0,7
143,02-19-2020,France,12,1,4
144,02-19-2020,Macau,10,0,5
145,02-19-2020,UK,9,0,8
146,02-19-2020,United Arab Emirates,9,0,4
147,02-19-2020,Australia,15,0,10
148,02-19-2020,Canada,8,0,1
149,02-19-2020,India,3,0,3
150,02-19-2020,Italy,3,0,0
151,02-19-2020,Philippines,3,1,1
152,02-19-2020,Iran,2,2,0
153,02-19-2020,Russia,2,0,2
154,02-19-2020,Spain,2,0,2
155,02-19-2020,US,15,0,3
156,02-19-2020,Belgium,1,0,1
157,02-19-2020,Cambodia,1,0,1
158,02-19-2020,Egypt,1,0,0
159,02-19-2020,Finland,1,0,1
160,02-19-2020,Nepal,1,0,1
161,02-19-2020,Sri Lanka,1,0,1
162,02-19-2020,Sweden,1,0,0
163,03-24-2020,US,53740,706,348
164,03-24-2020,Canada,2790,26,110
165,03-24-2020,China,81591,3281,73280
166,03-24-2020,Netherlands,5580,277,3
167,03-24-2020,Australia,2044,8,119
168,03-24-2020,United Kingdom,8164,423,140
169,03-24-2020,Denmark,1718,32,36
170,03-24-2020,France,22622,1102,3288
171,03-24-2020,Afghanistan,74,1,1
172,03-24-2020,Albania,123,5,10
173,03-24-2020,Algeria,264,19,24
174,03-24-2020,Andorra,164,1,1
175,03-24-2020,Angola,3,0,0
176,03-24-2020,Antigua and Barbuda,3,0,0
177,03-24-2020,Argentina,387,6,52
178,03-24-2020,Armenia,249,0,14
179,03-24-2020,Austria,5283,28,9
180,03-24-2020,Azerbaijan,87,1,10
181,03-24-2020,Bahamas,5,0,1
182,03-24-2020,Bahrain,392,3,177
183,03-24-2020,Bangladesh,39,4,5
184,03-24-2020,Barbados,18,0,0
185,03-24-2020,Belarus,81,0,22
186,03-24-2020,Belgium,4269,122,461
187,03-24-2020,Belize,1,0,0
188,03-24-2020,Benin,6,0,0
189,03-24-2020,Bhutan,2,0,0
190,03-24-2020,Bolivia,29,0,0
191,03-24-2020,Bosnia and Herzegovina,166,3,2
192,03-24-2020,Brazil,2247,46,2
193,03-24-2020,Brunei,104,0,2
194,03-24-2020,Bulgaria,218,3,3
195,03-24-2020,Burkina Faso,114,4,7
196,03-24-2020,Cabo Verde,3,1,0
197,03-24-2020,Cambodia,91,0,4
198,03-24-2020,Cameroon,66,0,2
199,03-24-2020,Central African Republic,3,0,0
200,03-24-2020,Chad,3,0,0
201,03-24-2020,Chile,922,2,17
202,03-24-2020,Colombia,378,3,6
203,03-24-2020,Congo (Brazzaville),4,0,0
204,03-24-2020,Congo (Kinshasa),45,2,0
205,03-24-2020,Costa Rica,177,2,2
206,03-24-2020,Cote d'Ivoire,73,0,2
207,03-24-2020,Croatia,382,1,5
208,03-24-2020,Cuba,48,1,1
209,03-24-2020,Cyprus,124,3,3
210,03-24-2020,Czechia,1394,3,10
211,03-24-2020,Djibouti,3,0,0
212,03-24-2020,Dominica,2,0,0
213,03-24-2020,Dominican Republic,312,6,3
214,03-24-2020,Ecuador,1082,27,3
215,03-24-2020,Egypt,402,20,80
216,03-24-2020,El Salvador,5,0,0
217,03-24-2020,Equatorial Guinea,9,0,0
218,03-24-2020,Eritrea,1,0,0
219,03-24-2020,Estonia,369,0,7
220,03-24-2020,Eswatini,4,0,0
221,03-24-2020,Ethiopia,12,0,0
222,03-24-2020,Fiji,4,0,0
223,03-24-2020,Finland,792,1,10
224,03-24-2020,Gabon,6,1,0
225,03-24-2020,Gambia,3,1,0
226,03-24-2020,Georgia,70,0,9
227,03-24-2020,Germany,32986,157,3243
228,03-24-2020,Ghana,53,2,0
229,03-24-2020,Greece,743,20,29
230,03-24-2020,Grenada,1,0,0
231,03-24-2020,Guatemala,21,1,0
232,03-24-2020,Guinea,4,0,0
233,03-24-2020,Guyana,5,1,0
234,03-24-2020,Haiti,7,0,0
235,03-24-2020,Holy See,4,0,0
236,03-24-2020,Honduras,30,0,0
237,03-24-2020,Hungary,187,9,21
238,03-24-2020,Iceland,648,2,51
239,03-24-2020,India,536,10,40
240,03-24-2020,Indonesia,686,55,30
241,03-24-2020,Iran,24811,1934,8913
242,03-24-2020,Iraq,316,27,75
243,03-24-2020,Ireland,1329,7,5
244,03-24-2020,Israel,1930,3,53
245,03-24-2020,Italy,69176,6820,8326
246,03-24-2020,Jamaica,21,1,2
247,03-24-2020,Japan,1193,43,285
248,03-24-2020,Jordan,154,0,1
249,03-24-2020,Kazakhstan,72,0,0
250,03-24-2020,Kenya,25,0,0
251,03-24-2020,"Korea, South",9037,120,3507
252,03-24-2020,Kuwait,191,0,39
253,03-24-2020,Kyrgyzstan,42,0,0
254,03-24-2020,Laos,2,0,0
255,03-24-2020,Latvia,197,0,1
256,03-24-2020,Lebanon,318,4,8
257,03-24-2020,Liberia,3,0,0
258,03-24-2020,Libya,1,0,0
259,03-24-2020,Liechtenstein,51,0,0
260,03-24-2020,Lithuania,209,2,1
261,03-24-2020,Luxembourg,1099,8,6
262,03-24-2020,Madagascar,17,0,0
263,03-24-2020,Malaysia,1624,16,183
264,03-24-2020,Maldives,13,0,5
265,03-24-2020,Malta,110,0,2
266,03-24-2020,Mauritania,2,0,0
267,03-24-2020,Mauritius,42,2,0
268,03-24-2020,Mexico,367,4,4
269,03-24-2020,Moldova,125,1,2
270,03-24-2020,Monaco,23,0,1
271,03-24-2020,Mongolia,10,0,0
272,03-24-2020,Montenegro,47,1,0
273,03-24-2020,Morocco,170,5,6
274,03-24-2020,Mozambique,3,0,0
275,03-24-2020,Namibia,7,0,2
276,03-24-2020,Nepal,2,0,1
277,03-24-2020,New Zealand,155,0,12
278,03-24-2020,Nicaragua,2,0,0
279,03-24-2020,Niger,3,0,0
280,03-24-2020,Nigeria,44,1,2
281,03-24-2020,North Macedonia,148,2,1
282,03-24-2020,Norway,2863,12,6
283,03-24-2020,Oman,84,0,17
284,03-24-2020,Pakistan,972,7,18
285,03-24-2020,Panama,345,6,1
