,country,confirmed,deaths,recovered,active,critical,case_per_mn,deaths_per_mn,total_test,tests_per_mn,continent
9,USA,"1,408,745","83,449 ","296,746","1,028,550","16,473","4,256",252,"9,936,065","30,018",North America
10,Spain,"269,520","26,920 ","180,470","62,130","1,534","5,765",576,"2,467,761","52,781",Europe
11,Russia,"242,271","2,212 ","48,003","192,056","2,300","1,660",15,"5,982,558","40,995",Europe
12,UK,"226,463","32,692 ",N/A,"193,427","1,559","3,336",482,"2,007,146","29,566",Europe
13,Italy,"221,216","30,911 ","109,039","81,266",952,"3,659",511,"2,673,655","44,221",Europe
14,France,"178,225","26,991 ","57,785","93,449","2,542","2,730",414,"1,384,633","21,213",Europe
15,Brazil,"178,214","12,461 ","72,597","93,156","8,318",838,59,"735,224","3,459",South America
16,Germany,"173,301","7,756 ","148,700","16,845","1,539","2,068",93,"2,755,770","32,891",Europe
17,Turkey,"141,475","3,894 ","98,889","38,692","1,045","1,677",46,"1,440,671","17,082",Asia
18,Iran,"112,725","6,783 ","89,428","16,514","2,735","1,342",81,"629,534","7,495",Asia
19,India,"75,048","2,440 ","24,900","47,708",,54,2,"1,854,250","1,344",Asia
20,Peru,"72,059","2,057 ","23,324","46,678",797,"2,185",62,"532,169","16,140",South America
21,Canada,"71,157","5,169 ","34,042","31,946",502,"1,885",137,"1,145,683","30,356",North America
22,Belgium,"53,981","8,843 ","13,937","31,201",420,"4,658",763,"605,237","52,222",Europe
23,Netherlands,"42,984","5,510 ",N/A,"37,224",463,"2,509",322,"270,351","15,778",Europe
24,Saudi Arabia,"42,925",264 ,"15,257","27,404",147,"1,233",8,"482,374","13,856",Asia
25,Mexico,"38,324","3,926 ","25,935","8,463",378,297,30,"142,204","1,103",North America
26,Pakistan,"34,336",737 ,"8,812","24,787",111,155,3,"317,699","1,438",Asia
27,Chile,"31,721",335 ,"14,125","17,261",494,"1,659",18,"303,340","15,868",South America
28,Ecuador,"30,419","2,327 ","3,433","24,659",181,"1,724",132,"85,223","4,830",South America
29,Switzerland,"30,413","1,867 ","26,800","1,746",79,"3,514",216,"322,084","37,215",Europe
30,Portugal,"28,132","1,175 ","3,182","23,775",103,"2,759",115,"566,172","55,525",Europe
31,Sweden,"27,272","3,313 ","4,971","18,988",360,"2,700",328,"177,500","17,576",Europe
32,Qatar,"26,539",14 ,"3,143","23,382",72,"9,212",5,"139,127","48,290",Asia
33,Singapore,"25,346",21 ,"3,851","21,474",20,"4,332",4,"224,262","38,333",Asia
34,Belarus,"24,873",142 ,"6,974","17,757",92,"2,632",15,"284,445","30,102",Europe
35,Ireland,"23,242","1,488 ","17,110","4,644",72,"4,707",301,"258,808","52,414",Europe
36,UAE,"19,661",203 ,"6,012","13,446",1,"1,988",21,"1,500,000","151,662",Asia
37,Bangladesh,"17,822",269 ,"3,361","14,192",1,108,2,"144,538",878,Asia
38,Poland,"17,062",847 ,"6,410","9,805",160,451,22,"507,778","13,417",Europe
39,Israel,"16,539",262 ,"12,173","4,104",61,"1,911",30,"477,151","55,127",Asia
40,Ukraine,"16,425",439 ,"3,716","12,270",218,376,10,"192,247","4,396",Europe
41,Romania,"16,002","1,016  ","7,961","7,025",228,832,53,"277,804","14,441",Europe
42,Austria,"15,997",624 ,"14,304","1,069",55,"1,776",69,"336,252","37,335",Europe
43,Japan,"15,968",657 ,"8,531","6,780",249,126,5,"223,649","1,768",Asia
44,Indonesia,"15,438","1,028 ","3,287","11,123",,56,4,"169,195",619,Asia
45,Colombia,"12,272",493 ,"2,971","8,808",130,241,10,"165,738","3,257",South America
46,Philippines,"11,618",772 ,"2,251","8,595",77,106,7,"188,649","1,722",Asia
47,South Africa,"11,350",206 ,"4,357","6,787",77,191,3,"369,697","6,233",Africa
48,Kuwait,"11,028",82 ,"3,263","7,683",169,"2,582",19,"227,000","53,154",Asia
49,S. Korea,"10,962",259 ,"9,695","1,008",55,214,5,"695,920","13,574",Asia
50,Dominican Republic,"10,900",402 ,"3,221","7,277",131,"1,005",37,"42,615","3,928",North America
51,Denmark,"10,667",527 ,"8,580","1,560",43,"1,842",91,"345,712","59,686",Europe
52,Serbia,"10,243",220 ,"3,600","6,423",23,"1,172",25,"151,304","17,317",Europe
53,Egypt,"10,093",544 ,"2,326","7,223",41,99,5,"90,000",879,Africa
54,Panama,"8,783",252 ,"6,021","2,510",87,"2,036",58,"44,561","10,328",North America
55,Czechia,"8,223",284 ,"4,899","3,040",43,768,27,"326,954","30,531",Europe
56,Norway,"8,157",228 ,32,"7,897",23,"1,505",42,"205,239","37,858",Europe
57,Australia,"6,980",98 ,"6,271",611,17,274,4,"909,025","35,648",Australia/Oceania
58,Malaysia,"6,779",111 ,"5,281","1,387",16,209,3,"271,721","8,395",Asia
59,Argentina,"6,563",319 ,"1,862","4,382",170,145,7,"87,547","1,937",South America
60,Morocco,"6,466",188 ,"3,099","3,179",1,175,5,"74,208","2,010",Africa
61,Algeria,"6,067",515 ,"2,998","2,554",22,138,12,"6,500",148,Africa
62,Finland,"6,054",284 ,"4,300","1,470",35,"1,093",51,"133,200","24,040",Europe
