,date,infected,exposed,recovered,succeptable,beta
0,2020-03-11,5.6221540524319106e-05,0.0,4.282844557137365e-05,0.0,0.0
1,2020-03-12,5.622918300211557e-05,5.628268034669081e-05,4.370177235229664e-05,0.9998794553962224,1.144082388390836
2,2020-03-13,5.623821502132957e-05,5.630143915582758e-05,4.460150042015286e-05,0.9998713935746766,0.14336974383046636
3,2020-03-14,5.626044768401019e-05,5.641607632277452e-05,4.561864473779109e-05,0.999863219498035,0.1453098079631454
4,2020-03-15,5.627851172243819e-05,5.64049599914342e-05,4.656144858959101e-05,0.999855172762939,0.14300130555894203
5,2020-03-16,5.629935484370127e-05,5.64452566925428e-05,4.7181878832521975e-05,0.999847068858139,0.14396513692780377
6,2020-03-17,5.6316724111420504e-05,5.643830898545516e-05,4.7798835221909096e-05,0.9998390131902767,0.14306522714997422
7,2020-03-18,5.634729402260635e-05,5.656128340090729e-05,4.84637307902013e-05,0.9998308100325183,0.1456067416830839
8,2020-03-19,5.638481164087989e-05,5.664743496879467e-05,4.9005651943041343e-05,0.9998226313902405,0.14507618153569674
9,2020-03-20,5.64501200875042e-05,5.6907279213874354e-05,4.9513529331151683e-05,0.9998142419346792,0.14864475481921763
10,2020-03-21,5.648833247648651e-05,5.67558191993627e-05,4.992413882003433e-05,0.9998062854205224,0.1408796365437265
11,2020-03-22,5.655225138169329e-05,5.699968371814073e-05,5.027499802796282e-05,0.9997978987440439,0.14832958147621708
12,2020-03-23,5.6621033681861444e-05,5.710250978303851e-05,5.059250824187038e-05,0.9997896384165814,0.14591866213666307
13,2020-03-24,5.668703689919453e-05,5.7149059420526135e-05,5.091279753861302e-05,0.9997814277155981,0.14487432147660403
14,2020-03-25,5.673567084880838e-05,5.707610849610533e-05,5.125531949803628e-05,0.9997733469367374,0.14246083087261022
15,2020-03-26,5.681973810456946e-05,5.7408208894897036e-05,5.1538785947214144e-05,0.9997648136636393,0.150216821902635
16,2020-03-27,5.689963673607793e-05,5.745892715663722e-05,5.191326735924079e-05,0.9997565545272123,0.14518805461390497
17,2020-03-28,5.6970503348372394e-05,5.746656963443364e-05,5.217728022857311e-05,0.9997483373747867,0.144271516191816
18,2020-03-29,5.705596014555102e-05,5.7654157725801394e-05,5.251215971019991e-05,0.9997399134784488,0.14768111566775513
19,2020-03-30,5.710876271941748e-05,5.747838073648271e-05,5.274907652189024e-05,0.9997318780581901,0.14074154168843042
20,2020-03-31,5.7165039146827794e-05,5.755897413869999e-05,5.2945696632471946e-05,0.9997235747541966,0.1452915977126013
21,2020-04-01,5.722201034494688e-05,5.762080873178047e-05,5.308395600351703e-05,0.999715281375499,0.1449746452366657
22,2020-04-02,5.7271339065269494e-05,5.761664010752779e-05,5.3195119316920115e-05,0.9997070545955364,0.14368776425406563
23,2020-04-03,5.732622595126227e-05,5.771043415321171e-05,5.333059960513013e-05,0.9996987164537546,0.14549457155908463
24,2020-04-04,5.7348458613942884e-05,5.750408725270717e-05,5.345982695696121e-05,0.9996907079310476,0.1396898999475407
25,2020-04-05,5.738945008576027e-05,5.7676390388481966e-05,5.364116211194999e-05,0.9996822961435706,0.14662034173620822
26,2020-04-06,5.743322064041274e-05,5.773961452298001e-05,5.371272349495323e-05,0.9996739844030756,0.14476728003345532
27,2020-04-07,5.747004348797751e-05,5.7727803420930944e-05,5.378220056583016e-05,0.9996657493851177,0.1433402680472258
28,2020-04-08,5.753326762247552e-05,5.797583656396156e-05,5.3891279567106935e-05,0.9996572190896083,0.14831802341573724
29,2020-04-09,5.758468065492444e-05,5.79445718820669e-05,5.3969093886489096e-05,0.999648972558307,0.14325732091794455
30,2020-04-10,5.762497735603306e-05,5.7907054263793416e-05,5.404690820587126e-05,0.9996407376396019,0.14295672888196215
31,2020-04-11,5.7675695617773214e-05,5.8030723449954286e-05,5.410665848682541e-05,0.9996323238670658,0.1459343858308058
