,date,infected,exposed,recovered,succeptable,beta
0,2020-03-04,2.0333013558691753e-08,3.0499530504554555e-08,1.0892685835013438e-09,0.9999999480781874,-1.2857149953285807
1,2020-03-05,2.1785371670026876e-08,2.6868630142958302e-08,4.201461424166373e-09,0.9999999471445368,-1.0571432892093655
2,2020-03-06,2.251155072569444e-08,3.7761326144488675e-08,7.417394026186905e-09,0.9999999323097291,-1.4377889360346774
3,2020-03-07,2.4690087892697128e-08,5.010638025735418e-08,1.0944545912273938e-08,0.9999999142589859,-1.7394971197355118
4,2020-03-08,2.832098317103494e-08,4.86540170627606e-08,1.4990396605138477e-08,0.9999999080346031,-1.4725284687557165
5,2020-03-09,3.122569939370519e-08,9.730805954181353e-08,1.945120634342502e-08,0.9999998520150347,-2.6710989999357717
6,2020-03-10,4.066602711738351e-08,7.116557795497196e-08,2.5260632979333077e-08,0.999999862907762,-1.5000010984964
7,2020-03-11,4.502310145138888e-08,1.0093894465363437e-07,3.169249818337414e-08,0.9999998223454557,-1.9216607123607412
8,2020-03-12,5.3011071063732066e-08,9.87603973201148e-08,3.926550076232571e-08,0.9999998089630309,-1.5968701954730646
9,2020-03-13,5.9546682564740135e-08,1.612118520233683e-07,4.777216119347679e-08,0.9999997314693042,-2.3205599646067028
10,2020-03-14,7.407026367809138e-08,1.2998610688033688e-07,5.8353616851737895e-08,0.9999997375900126,-1.5042029731500106
11,2020-03-15,8.205823329043457e-08,1.125577841280231e-07,7.007620988490951e-08,0.9999997353077726,-1.1757277536842465
12,2020-03-16,8.641530762443995e-08,2.0333025250186238e-07,8.242124148621413e-08,0.9999996278331984,-2.016808969078091
13,2020-03-17,1.0311742590479389e-07,1.7428304452583363e-07,9.715228759869527e-08,0.999999625447242,-1.4486935285283398
14,2020-03-18,1.1328393268413977e-07,3.0644775465553336e-07,1.1333569037015341e-07,0.9999994669326223,-2.3186844026833855
15,2020-03-19,1.4087873679950714e-07,3.9504166044607763e-07,1.334612040731206e-07,0.9999993306183986,-2.4035381655870607
16,2020-03-20,1.7718768958288527e-07,6.143479182549867e-07,1.5877370584386285e-07,0.9999990496906863,-2.9719023898027586
17,2020-03-21,2.3963908837029567e-07,5.751341475837688e-07,1.9300782709117818e-07,0.999998992218937,-2.0571464731546594
18,2020-03-22,2.875669060443548e-07,8.1114252875629e-07,2.3408877258795658e-07,0.9999986672017926,-2.4177541036932872
19,2020-03-23,3.6236334877811373e-07,5.504439122765758e-07,2.858549135043516e-07,0.9999988013378255,-1.302034859297649
20,2020-03-24,3.8923197383781353e-07,1.0043062490625142e-06,3.4145942559090016e-07,0.9999982650023516,-2.211626029331719
21,2020-03-25,4.770996395735886e-07,8.329277326787874e-07,4.096164488014643e-07,0.999998280356179,-1.4964157255098036
22,2020-03-26,5.27932173470318e-07,1.3412535291393438e-06,4.850352553069135e-07,0.999997645779042,-2.1776448529310444
23,2020-03-27,6.44120822377128e-07,1.1524466696702694e-06,5.770524236292428e-07,0.9999976263800843,-1.5335848588631218
24,2020-03-28,7.167387279438843e-07,9.04819291442346e-07,6.794435680871223e-07,0.9999976989984125,-1.0820697644139097
25,2020-03-29,7.436073530035841e-07,1.897507026359014e-06,7.856730837151554e-07,0.9999965732125369,-2.187230171932296
26,2020-03-30,9.084499986401207e-07,1.6506057356881074e-06,9.154515251708871e-07,0.9999965254927405,-1.5573890362602498
27,2020-03-31,1.014472140767585e-06,4.069510482999363e-06,1.060375971784522e-06,0.9999938556414044,-3.4384126644239505
28,2020-04-01,1.45090575322379e-06,4.221281620971408e-06,1.267648014972813e-06,0.9999930601646109,-2.4937988526014854
29,2020-04-02,1.8466733385626117e-06,1.968671541912965e-06,1.531458228099852e-06,0.9999946531968914,-0.9137739840787281
30,2020-04-03,1.8641016358986331e-06,4.481979749458309e-06,1.797758195499423e-06,0.9999918561604192,-2.060900962066618
31,2020-04-04,2.2380838495674278e-06,4.810212636870723e-06,2.117484139997077e-06,0.9999908342193735,-1.8422356616484898
32,2020-04-05,2.6055304517352148e-06,8.654608034523593e-06,2.4897024037406147e-06,0.99998625015911,-2.8471510246874945
33,2020-04-06,3.469683527979614e-06,6.179060294052059e-06,2.9853709834971983e-06,0.9999873658851944,-1.5264807727579721
34,2020-04-07,3.856736964650425e-06,6.932108340773928e-06,3.5363328560562643e-06,0.9999856748218385,-1.5406529697713263
35,2020-04-08,4.2960752933293005e-06,8.40843139793081e-06,4.150057284235408e-06,0.9999831454360245,-1.6776590488631644
36,2020-04-09,4.8835541493643586e-06,9.321238796233482e-06,4.847707179351153e-06,0.9999809474998751,-1.6360598380943754
37,2020-04-10,5.517508464962141e-06,9.828111650007973e-06,5.63592188613025e-06,0.9999790184579989,-1.5268257242875614
38,2020-04-11,6.133308304168233e-06,9.991501485123176e-06,6.512107910538811e-06,0.9999773630823001,-1.3963653876472077
39,2020-04-12,6.6844782074199136e-06,0.0,0.0,0.0,0.0
