,A,B,t_off,t_w,mse
0,-0.500000,0.700000,18.000000,10.000000,46266.964924
1,-0.500000,0.700000,18.000000,10.000000,46266.962873
2,-0.500000,0.700000,18.000000,10.000000,46266.960887
3,-0.500000,0.700000,18.000000,10.000000,46266.964862
4,-0.500000,0.700000,18.000000,10.000000,46266.964910
5,2.000000,10.000000,30.000000,30.000000,9251796.992207
6,2.000000,10.000000,30.000000,30.000000,9251796.992112
7,2.000000,10.000000,30.000000,30.000000,9251796.992385
8,2.000000,10.000000,30.000000,30.000000,9251796.992199
9,2.000000,10.000000,30.000000,30.000000,9251796.992212
10,-0.339587,1.296736,18.769981,11.283302,7672275.196305
11,-0.339587,1.296736,18.769981,11.283302,7672275.217161
12,-0.339587,1.296736,18.769981,11.283302,7672275.228330
13,-0.339587,1.296736,18.769981,11.283302,7672275.196527
14,-0.339587,1.296736,18.769981,11.283302,7672275.196381
15,-0.498931,0.703975,18.005129,10.008548,44355.308006
16,-0.498931,0.703975,18.005129,10.008548,44355.305874
17,-0.498931,0.703975,18.005129,10.008548,44355.303775
18,-0.498931,0.703975,18.005129,10.008548,44355.307941
19,-0.498931,0.703975,18.005129,10.008548,44355.307992
20,-0.497829,0.708076,18.010420,10.017367,42297.481268
21,-0.497829,0.708076,18.010420,10.017367,42297.479074
22,-0.497829,0.708076,18.010420,10.017367,42297.476866
23,-0.497829,0.708076,18.010420,10.017367,42297.481200
24,-0.497829,0.708076,18.010420,10.017367,42297.481253
25,-0.418708,1.002406,18.390201,10.650335,3692356.525722
26,-0.418708,1.002406,18.390201,10.650335,3692356.660599
27,-0.418708,1.002406,18.390201,10.650335,3692356.772336
28,-0.418708,1.002406,18.390201,10.650335,3692356.528362
29,-0.418708,1.002406,18.390201,10.650335,3692356.526173
30,-0.495997,0.714890,18.019213,10.032022,38745.208961
31,-0.495997,0.714890,18.019213,10.032022,38745.206757
32,-0.495997,0.714890,18.019213,10.032022,38745.204406
33,-0.495997,0.714890,18.019213,10.032022,38745.208889
34,-0.495997,0.714890,18.019213,10.032022,38745.208946
35,-0.494067,0.722069,18.028476,10.047461,35015.537760
36,-0.494067,0.722069,18.028476,10.047461,35015.535773
37,-0.494067,0.722069,18.028476,10.047461,35015.533399
38,-0.494067,0.722069,18.028476,10.047461,35015.537688
39,-0.494067,0.722069,18.028476,10.047461,35015.537745
40,-0.456388,0.862237,18.209339,10.348898,581557.500207
41,-0.456388,0.862237,18.209339,10.348898,581557.552472
42,-0.456388,0.862237,18.209339,10.348898,581557.592379
43,-0.456388,0.862237,18.209339,10.348898,581557.501277
44,-0.456388,0.862237,18.209339,10.348898,581557.500414
45,-0.490943,0.733692,18.043473,10.072455,30293.610055
46,-0.490943,0.733692,18.043473,10.072455,30293.609485
47,-0.490943,0.733692,18.043473,10.072455,30293.607772
48,-0.490943,0.733692,18.043473,10.072455,30293.610004
49,-0.490943,0.733692,18.043473,10.072455,30293.610046
50,-0.494237,0.784217,18.104651,10.173583,74381.706313
51,-0.494236,0.784217,18.104651,10.173583,74381.718606
52,-0.494237,0.784217,18.104651,10.173583,74381.726554
53,-0.494237,0.784217,18.104651,10.173583,74381.706553
54,-0.494237,0.784217,18.104651,10.173583,74381.706368
55,-0.491290,0.739017,18.049922,10.083115,29476.548880
56,-0.491290,0.739017,18.049922,10.083115,29476.549380
57,-0.491290,0.739017,18.049922,10.083115,29476.548313
58,-0.491290,0.739017,18.049922,10.083115,29476.548849
59,-0.491290,0.739017,18.049922,10.083115,29476.548876
60,-0.494363,0.742870,18.053929,10.089586,29172.959466
61,-0.494363,0.742870,18.053929,10.089586,29172.960486
62,-0.494363,0.742870,18.053929,10.089586,29172.959742
63,-0.494363,0.742870,18.053929,10.089586,29172.959445
64,-0.494363,0.742870,18.053929,10.089586,29172.959465
65,-0.506384,0.752694,18.063169,10.104244,28353.246760
66,-0.506384,0.752694,18.063169,10.104244,28353.248590
67,-0.506384,0.752694,18.063169,10.104244,28353.248341
68,-0.506384,0.752694,18.063169,10.104244,28353.246754
69,-0.506384,0.752694,18.063169,10.104244,28353.246762
70,-0.560617,0.790847,18.097290,10.157849,25384.262616
71,-0.560617,0.790847,18.097290,10.157849,25384.267028
72,-0.560617,0.790847,18.097290,10.157849,25384.268361
73,-0.560617,0.790847,18.097290,10.157849,25384.262665
74,-0.560617,0.790847,18.097290,10.157849,25384.262633
75,-0.689403,0.873512,18.168542,10.268970,20471.130931
76,-0.689403,0.873512,18.168542,10.268970,20471.139743
77,-0.689403,0.873512,18.168542,10.268970,20471.144712
78,-0.689403,0.873512,18.168542,10.268970,20471.131150
79,-0.689403,0.873512,18.168542,10.268970,20471.130995
80,-0.729430,0.891677,18.181247,10.287948,11644.486595
81,-0.729430,0.891677,18.181247,10.287948,11644.494347
82,-0.729430,0.891677,18.181247,10.287948,11644.499449
83,-0.729430,0.891677,18.181247,10.287948,11644.486832
84,-0.729430,0.891677,18.181247,10.287948,11644.486661
85,-0.759770,0.846608,18.117369,10.181265,42635.884855
86,-0.759770,0.846608,18.117369,10.181265,42635.882121
87,-0.759770,0.846608,18.117369,10.181265,42635.880246
88,-0.759770,0.846608,18.117369,10.181265,42635.884761
89,-0.759770,0.846608,18.117369,10.181265,42635.884826
90,-0.736019,0.881890,18.167375,10.264781,6566.425801
91,-0.736019,0.881890,18.167375,10.264781,6566.420160
92,-0.736019,0.881890,18.167375,10.264781,6566.416590
93,-0.736019,0.881890,18.167375,10.264781,6566.425630
94,-0.736019,0.881890,18.167375,10.264781,6566.425746
95,-0.729961,0.884032,18.171570,10.271984,3347.958779
96,-0.729961,0.884032,18.171570,10.271984,3347.960762
97,-0.729961,0.884032,18.171570,10.271984,3347.961861
98,-0.729961,0.884032,18.171570,10.271984,3347.958827
99,-0.729961,0.884032,18.171570,10.271984,3347.958787
