,country,beta_0,mu,gamma
0,US,0.521953,0.048156,0.025014
1,Spain,0.531780,0.080025,0.007848
2,Italy,0.283600,0.059537,0.016817
3,France,0.581348,0.015166,0.289394
4,Germany,0.543428,0.042515,0.122077
5,UK,0.410041,0.026717,0.079029
6,Turkey,0.919781,0.069078,0.031216
7,Iran,1.156153,0.004241,1.000000
8,China,0.000100,0.970612,0.085942
9,Russia,0.477284,0.019816,0.081770
10,Brazil,0.585139,0.042320,0.072904
11,Canada,0.385740,0.047533,0.010148
12,Belgium,0.476104,0.063975,0.000732
13,Netherlands,0.417315,0.055069,0.007577
14,Switzerland,0.555940,0.049279,0.120812
15,India,0.311163,0.013539,0.094903
16,Peru,0.402630,0.034298,0.000175
17,Portugal,0.565034,0.056236,0.022585
18,Ecuador,0.244679,0.023294,0.000100
19,Ireland,1.328385,0.005582,1.000000
20,Sweden,0.322049,0.049177,0.000100
21,SaudiArabia,0.341357,0.026980,0.000100
22,Israel,0.556569,0.026350,0.179959
23,Austria,0.707475,0.032495,0.260130
24,Mexico,0.363729,0.018804,0.090808
25,Japan,0.186736,0.002072,0.104282
26,Chile,0.655736,0.060306,0.033606
27,Pakistan,0.365947,0.044200,0.000100
28,Singapore,0.114431,0.000100,0.000100
29,Poland,0.590560,0.054316,0.022397
30,SK,0.067521,0.395295,0.034783
31,Romania,0.483199,0.036797,0.066023
32,UAE,1.165190,0.001858,0.995051
33,Belarus,0.882211,0.002233,0.692729
34,Qatar,0.217165,0.020567,0.000113
35,Denmark,0.537686,0.057703,0.064153
36,Indonesia,0.419588,0.047224,0.000100
37,Ukraine,0.499521,0.014900,0.176804
38,Norway,0.399321,0.078159,0.003215
39,Czech,0.397983,0.044807,0.084147
40,Philippines,0.579374,0.053541,0.028498
41,Australia,1.291352,0.007358,1.000000
42,Serbia,1.288852,0.007078,0.910657
43,DR,0.467592,0.049828,0.003339
44,Malaysia,0.425475,0.051116,0.069196
45,Panama,0.645908,0.073440,0.000100
46,Colombia,0.540264,0.063201,0.000100
47,Bangladesh,0.264903,0.001851,0.098266
48,Finland,0.552070,0.027818,0.179851
49,SA,0.693701,0.088352,0.000100
