,country,A,B,t_off,t_w
0,US,-0.734597,1.038162,18.354852,10.576111
1,Spain,-0.900289,1.051740,17.369678,8.924237
2,Italy,-2.000000,2.136884,1.610446,17.983012
3,France,-0.735375,0.834871,21.377355,15.651367
4,Germany,-1.278803,1.335419,14.648248,13.574892
5,UK,-0.620899,0.815090,20.959659,14.995199
6,Turkey,-2.000000,2.139579,6.611184,10.876877
7,Iran,-1.906880,1.910748,1.464644,23.174117
8,Russia,-0.696945,0.605236,30.000000,30.000000
9,China,-0.028334,0.001000,1.000000,1.000000
10,Brazil,-0.517352,0.722770,20.342567,3.376523
11,Canada,-0.418060,0.634994,23.794779,7.657365
12,Belgium,-0.667917,0.860366,14.008128,10.703930
13,Netherlands,-1.818491,2.006732,1.000000,15.710968
14,India,-0.297500,0.493869,30.000000,18.563236
15,Switzerland,-0.892785,0.948613,15.034100,9.094549
16,Peru,-0.197797,0.583851,25.545459,1.000000
17,Portugal,-1.156998,1.328637,8.194765,12.656148
18,Ecuador,-1.528337,1.918783,5.051005,1.000002
19,Ireland,-0.596704,0.431245,27.426736,15.050658
20,Sweden,-1.057259,1.269949,3.928603,15.667651
21,SaudiArabia,-0.820546,1.228025,4.399110,2.319495
22,Israel,-0.714958,0.815330,14.455730,11.104793
23,Mexico,-0.764835,0.359079,29.999990,30.000000
24,Austria,-2.000000,0.001000,1.000000,1.000000
25,Singapore,0.244234,0.222960,15.908841,11.010048
26,Pakistan,-2.000000,2.292390,3.809012,4.212915
27,Chile,-1.444116,1.601261,3.815872,10.520735
28,Poland,-1.503547,1.660823,1.000000,16.352014
29,Romania,-0.676993,0.841050,10.559518,13.520152
30,Belarus,-0.151616,0.504919,30.000000,1.264420
31,Qatar,0.318566,0.062577,1.363651,1.256769
32,UAE,-0.296321,0.438567,30.000000,29.999994
33,Indonesia,-1.072350,1.292128,1.000000,17.907619
34,Ukraine,-0.547142,0.841271,12.741673,7.214024
35,Denmark,-1.738815,1.809305,1.120325,14.129539
36,Philippines,-0.356310,0.557871,20.485415,3.143562
37,Norway,-2.000000,0.001000,1.000000,1.000000
38,Czech,-0.036199,0.417504,20.353659,11.292908
39,Australia,-0.544203,0.556663,22.699772,9.631516
40,Serbia,-0.558247,0.518604,21.059640,20.580737
41,DR,-1.788583,2.021454,2.463269,8.036162
42,Bangladesh,-0.193405,0.526614,28.819136,1.000000
43,Malaysia,-1.025436,1.113146,8.777580,13.780805
44,Colombia,-0.486330,0.719733,11.970756,5.663628
45,SA,-2.000000,0.001000,1.398862,1.000000
46,Egypt,-0.295451,0.498268,8.739915,29.602155
47,Finland,-1.255245,1.309538,1.513955,18.293439
48,Morocco,0.315491,0.664504,29.987397,14.775027
49,Argentina,-0.579238,0.801506,8.924143,7.675568
50,Luxembourg,-1.999941,2.032800,1.000000,12.787295
51,Algeria,-2.000000,0.001000,1.000000,1.000000
52,Moldova,-0.323143,0.516247,18.242469,5.041296
53,Kuwait,-0.066655,0.339624,30.000000,30.000000
54,Kazakhstan,-2.000000,0.001000,1.888652,3.882197
55,Bahrain,-0.016638,0.306706,30.000000,30.000000
56,Hungary,-0.786571,0.913653,1.000000,22.674968
57,Greece,-1.028336,1.155160,1.002856,17.153829
58,Oman,-0.718614,0.207406,30.000000,29.412869
59,Croatia,-1.351123,1.419329,1.000000,14.099693
60,Uzbekistan,-0.309981,0.322257,24.254515,4.365430
61,Iraq,-0.177121,0.263817,30.000000,2.890048
62,Armenia,-0.682338,0.830797,8.082320,6.253749
63,Iceland,-0.211552,0.342938,22.067125,12.199345
64,Cameroon,-0.450630,0.596925,12.513345,1.000000
65,Afghanistan,-0.927423,1.212833,1.018271,7.195676
66,Azerbaijan,-0.415590,0.451021,17.721408,5.378601
67,Estonia,-0.759357,0.909214,1.000000,13.353621
68,BH,-1.406089,1.538883,1.000000,10.946038
69,Ghana,-0.777917,1.076007,1.000000,11.344904
70,NZ,-2.000000,1.986587,2.017876,8.724835
71,Lithuania,-2.000000,2.139000,1.321112,7.532877
72,Slovenia,-1.589717,1.750228,1.000000,8.510826
73,North Macedonia,-0.961026,0.987224,1.575141,21.538838
74,Cuba,-0.887568,1.009494,1.000000,15.380836
75,Slovakia,-0.747261,0.921734,1.000000,14.936469
76,Bulgaria,-0.854098,1.083106,2.791630,4.791145
77,Nigeria,-0.194344,0.592748,3.391746,1.000134
78,Guinea,-1.444081,1.787380,1.929203,2.797512
79,Djibouti,-0.429661,0.372381,17.165357,1.000000
80,Bolivia,-0.511733,0.851673,3.442716,1.000001
81,Tunisia,-1.388669,1.521798,1.000000,9.660749
82,Cyprus,-0.743857,0.783823,1.000000,26.226094
83,Latvia,-1.174345,1.284749,1.000000,12.283310
84,Andorra,-1.196670,1.279524,1.000000,10.231214
85,Albania,-0.205016,0.372518,11.264401,2.541416
86,Senegal,-0.002646,0.314729,25.254410,13.873981
87,Lebanon,-0.804979,0.945875,1.000000,13.406202
88,Niger,-1.965778,1.647174,1.000000,14.808661
89,Kyrgyzstan,-0.250500,0.289462,17.414581,5.661626
90,Honduras,-0.907839,1.099192,3.070004,6.383155
91,Burkina Faso,-1.088007,1.129198,1.000000,10.456471
92,Uruguay,-2.000000,2.101886,1.609291,3.921632
