date,confirmed,deaths,recovered
01-2020-02,8.0,0.0,0.0
01-2020-03,130.0,0.0,16.0
01-2020-04,77872.0,920.0,18700.0
02-2020-02,10.0,0.0,0.0
02-2020-03,159.0,0.0,16.0
02-2020-04,84794.0,1107.0,22440.0
03-2020-02,12.0,0.0,0.0
03-2020-03,196.0,0.0,16.0
03-2020-04,91159.0,1275.0,24575.0
04-2020-02,12.0,0.0,0.0
04-2020-03,262.0,0.0,16.0
04-2020-04,96092.0,1444.0,26400.0
05-2020-02,12.0,0.0,0.0
05-2020-03,482.0,0.0,16.0
05-2020-04,100123.0,1584.0,28700.0
06-2020-02,12.0,0.0,0.0
06-2020-03,670.0,0.0,17.0
06-2020-04,103374.0,1810.0,28700.0
07-2020-02,13.0,0.0,0.0
07-2020-03,799.0,0.0,18.0
07-2020-04,107663.0,2016.0,36081.0
08-2020-02,13.0,0.0,0.0
08-2020-03,1040.0,0.0,18.0
08-2020-04,113296.0,2349.0,46300.0
09-2020-02,14.0,0.0,0.0
09-2020-03,1176.0,2.0,18.0
09-2020-04,118181.0,2607.0,52407.0
10-2020-02,14.0,0.0,0.0
10-2020-03,1457.0,2.0,18.0
10-2020-04,122171.0,2767.0,53913.0
11-2020-02,16.0,0.0,0.0
11-2020-03,1908.0,3.0,25.0
11-2020-04,124908.0,2736.0,57400.0
12-2020-02,16.0,0.0,0.0
12-2020-03,2078.0,3.0,25.0
12-2020-04,127854.0,3022.0,60300.0
13-2020-02,16.0,0.0,1.0
13-2020-03,3675.0,7.0,46.0
13-2020-04,130072.0,3194.0,64300.0
14-2020-02,16.0,0.0,1.0
14-2020-03,4585.0,9.0,46.0
14-2020-04,131359.0,3294.0,68200.0
15-2020-02,16.0,0.0,1.0
15-2020-03,5795.0,11.0,46.0
15-2020-04,134753.0,3804.0,72600.0
16-2020-02,16.0,0.0,1.0
16-2020-03,7272.0,17.0,67.0
16-2020-04,137698.0,4052.0,77000.0
17-2020-02,16.0,0.0,1.0
17-2020-03,9257.0,24.0,67.0
18-2020-02,16.0,0.0,12.0
18-2020-03,12327.0,28.0,105.0
19-2020-02,16.0,0.0,12.0
19-2020-03,15320.0,44.0,113.0
20-2020-02,16.0,0.0,12.0
20-2020-03,19848.0,67.0,180.0
21-2020-02,16.0,0.0,14.0
21-2020-03,22213.0,84.0,233.0
22-2020-02,16.0,0.0,14.0
22-2020-03,24873.0,94.0,266.0
23-2020-02,16.0,0.0,14.0
23-2020-03,29056.0,123.0,453.0
24-2020-02,16.0,0.0,14.0
24-2020-03,32986.0,157.0,3243.0
25-2020-02,17.0,0.0,14.0
25-2020-03,37323.0,206.0,3547.0
26-2020-02,27.0,0.0,15.0
26-2020-03,43938.0,267.0,5673.0
27-2020-02,46.0,0.0,16.0
27-2020-03,50871.0,342.0,6658.0
28-2020-01,4.0,,
28-2020-02,48.0,0.0,16.0
28-2020-03,57695.0,433.0,8481.0
29-2020-01,4.0,,
29-2020-02,79.0,0.0,16.0
29-2020-03,62095.0,533.0,9211.0
30-2020-01,4.0,,
30-2020-03,66885.0,645.0,13500.0
31-2020-01,5.0,,
31-2020-03,71808.0,775.0,16100.0
