,country,starting_date,num_days,population,gamma,beta0,alpha,mu,tl,R0,Rt,loss,convergence
0,US,2020-02-21,101,331002651,0.011,0.359,0.962,0.029,6.248,33.983,1.540,5744.767,True
1,Brazil,2020-03-10,83,212559417,0.052,0.458,0.764,0.100,5.935,8.878,2.091,2361.916,True
2,Russia,2020-03-13,80,145934462,0.025,0.187,1.000,0.037,39.542,7.374,0.704,3497.576,True
3,UK,2020-03-01,92,67886011,0.005,0.517,0.962,0.048,1.080,94.695,3.608,3058.719,True
4,Spain,2020-02-28,94,46754778,0.040,0.422,0.952,0.050,8.951,10.590,0.516,3805.829,True
5,Italy,2020-02-22,100,60461826,0.029,0.402,0.995,0.031,1.085,13.842,0.129,2194.896,True
6,India,2020-03-05,88,1380004385,0.045,0.181,0.665,0.025,31.039,4.007,1.650,954.578,True
7,France,2020-02-28,94,65273511,0.020,0.375,0.965,0.047,7.837,18.667,0.668,4416.305,True
8,Germany,2020-02-27,95,83783942,0.063,0.352,0.957,0.057,17.754,5.630,0.243,1700.671,True
9,Peru,2020-03-13,80,32971854,0.037,0.292,0.826,0.023,0.173,7.920,1.681,898.308,True
10,Turkey,2020-03-17,76,84339067,0.044,0.361,0.978,0.067,15.185,8.218,0.184,3777.444,True
11,Iran,2020-02-23,98,83992949,0.079,0.505,0.860,0.056,3.548,6.401,0.899,2618.963,True
12,Chile,2020-03-13,80,19116201,0.045,0.379,0.732,0.100,2.875,8.409,2.257,603.675,True
13,Canada,2020-03-04,89,37742154,0.036,0.303,0.876,0.039,9.097,8.384,1.064,541.571,True
14,Mexico,2020-03-15,78,128932753,0.168,0.308,0.347,0.100,27.292,1.828,1.194,480.384,True
15,SaudiArabia,2020-03-12,81,34813871,0.058,0.175,1.000,0.038,46.551,3.036,0.412,1557.062,True
16,China,2020-03-11,82,1439323776,0.187,0.100,0.100,0.001,67.619,0.535,0.534,461.803,True
17,Pakistan,2020-03-13,80,220892340,0.025,0.282,0.813,0.030,0.000,11.310,2.270,274.358,True
18,Belgium,2020-03-05,88,11589623,0.019,0.457,0.952,0.053,1.029,24.699,1.193,1425.496,True
19,Qatar,2020-03-11,82,2881053,0.023,0.100,0.124,0.100,0.000,4.299,3.764,1417.004,True
20,Bangladesh,2020-03-24,65,164689383,0.017,0.207,0.682,0.085,20.325,11.909,3.791,151.675,True
21,Netherlands,2020-03-04,89,17134872,0.004,0.557,0.981,0.059,0.000,141.935,2.646,653.697,True
22,Belarus,2020-03-16,77,9449323,0.027,0.251,0.818,0.032,3.932,9.445,1.869,366.567,True
23,Ecuador,2020-03-14,79,17643054,0.018,0.175,1.000,0.044,31.616,9.930,0.303,1649.024,True
24,Sweden,2020-03-04,89,10099265,0.011,0.292,0.922,0.040,3.668,25.982,2.075,491.003,True
25,Singapore,2020-02-05,117,5850342,0.025,0.100,1.000,0.013,57.662,3.951,1.429,1107.966,True
26,UAE,2020-03-07,86,9890402,0.033,0.139,0.844,0.039,43.182,4.214,0.892,480.592,True
27,SA,2020-03-14,79,59308690,0.058,0.188,0.567,0.016,0.714,3.258,1.678,239.609,True
28,Portugal,2020-03-08,85,10196709,0.017,0.237,0.999,0.020,1.472,13.881,0.968,1723.079,True
29,Switzerland,2020-03-01,92,8654622,0.059,0.544,1.000,0.043,0.036,9.226,0.007,589.444,True
30,Colombia,2020-03-15,78,50882891,0.019,0.272,0.770,0.100,7.571,14.239,3.278,79.715,True
31,Kuwait,2020-02-26,96,4270571,0.020,0.291,0.817,0.100,6.485,14.237,2.612,602.315,True
32,Indonesia,2020-03-11,82,273523615,0.017,0.256,0.836,0.047,5.319,15.229,2.521,53.717,True
33,Ireland,2020-03-10,83,4937786,0.061,0.238,0.979,0.100,28.456,3.933,0.084,842.755,True
34,Egypt,2020-03-08,85,102334404,0.021,0.305,0.777,0.100,1.369,14.171,3.165,102.836,True
35,Poland,2020-03-11,82,37846611,0.024,0.210,0.856,0.068,19.553,8.919,1.292,201.448,True
36,Ukraine,2020-03-20,73,43733762,0.065,0.156,0.100,0.100,73.000,2.400,2.400,1133.653,True
37,Romania,2020-03-11,82,19237691,0.037,0.254,1.000,0.027,5.444,6.891,0.224,256.309,True
38,Philippines,2020-03-10,83,109581078,0.012,0.277,0.901,0.051,5.085,23.865,2.376,63.419,True
39,DR,2020-03-19,74,10847910,0.034,0.229,1.000,0.022,5.299,6.756,0.595,384.815,True
40,Israel,2020-03-08,85,8655535,0.035,0.248,1.000,0.067,18.523,7.038,0.002,412.588,False
41,Argentina,2020-03-13,80,45195774,0.025,0.287,0.769,0.100,4.733,11.613,2.688,93.137,True
42,Japan,2020-02-06,108,126476461,0.032,0.111,1.000,0.100,65.150,3.431,0.001,692.185,True
43,Austria,2020-03-04,89,9006398,0.055,0.320,1.000,0.100,16.807,5.815,0.000,310.211,True
44,Afghanistan,2020-03-22,71,38928346,0.008,0.241,0.740,0.100,4.354,29.640,7.713,63.495,True
45,Panama,2020-03-13,80,4314767,0.035,0.162,0.906,0.088,36.748,4.557,0.434,534.624,True
46,Denmark,2020-03-08,85,5792202,0.067,0.368,0.924,0.046,3.680,5.514,0.426,205.167,True
47,Oman,2020-03-18,75,5106626,0.019,0.221,0.692,0.100,6.265,11.641,3.591,73.250,True
48,Serbia,2020-03-13,80,8737371,0.021,0.164,1.000,0.049,26.540,7.727,0.082,270.923,True
49,Bahrain,2020-02-26,96,1701575,0.045,0.106,1.000,0.021,66.783,2.371,1.097,94.747,True
50,Kazakhstan,2020-03-17,76,18776707,0.039,0.154,0.611,0.057,24.709,3.918,1.536,105.991,True
51,Nigeria,2020-03-22,71,206139589,0.024,0.131,0.638,0.053,32.738,5.532,2.120,40.422,True
