,country,starting_date,num_days,population,gamma,delta,beta0,alpha,mu,tl,R0,Rt,loss,convergence
0,US,2020-02-21,101,331002651,0.008,0.003,0.238,0.100,0.100,33.971,21.426,2.166,7516.955,True
1,Brazil,2020-03-10,83,212559417,0.045,0.007,0.427,0.249,0.100,4.455,8.213,2.048,2073.314,True
2,Russia,2020-03-13,80,145934462,0.025,0.001,0.184,0.100,0.082,44.361,7.106,1.052,3011.060,True
3,UK,2020-03-01,92,67886011,0.001,0.006,0.266,0.100,0.100,20.731,36.947,3.721,3287.986,True
4,Spain,2020-02-28,94,46754778,0.040,0.008,0.347,0.100,0.100,17.832,7.280,0.731,5081.375,True
5,Italy,2020-02-22,100,60461826,0.026,0.008,0.258,0.100,0.100,24.203,7.541,0.758,5095.926,True
6,India,2020-03-05,88,1380004385,0.043,0.003,0.178,0.287,0.033,36.053,3.898,1.625,865.301,True
7,France,2020-02-28,94,65273511,0.017,0.008,0.279,0.100,0.100,19.648,11.205,1.126,4896.710,True
8,Germany,2020-02-27,95,83783942,0.069,0.004,0.350,0.100,0.100,20.036,4.832,0.486,2677.520,True
9,Peru,2020-03-13,80,32971854,0.034,0.003,0.278,0.144,0.033,4.832,7.518,1.637,753.560,True
10,Turkey,2020-03-17,76,84339067,0.055,0.003,0.356,0.100,0.100,15.737,6.213,0.635,4850.994,True
11,Iran,2020-02-23,98,83992949,0.073,0.006,0.439,0.160,0.100,8.991,5.540,0.888,2235.829,True
12,Chile,2020-03-13,80,19116201,0.045,0.001,0.376,0.269,0.100,0.169,8.244,2.220,552.713,True
13,Canada,2020-03-04,89,37742154,0.031,0.005,0.326,0.103,0.059,8.320,9.065,1.005,445.160,True
14,Mexico,2020-03-15,78,128932753,0.100,0.017,0.336,0.404,0.069,9.396,2.864,1.172,963.189,True
15,SaudiArabia,2020-03-12,81,34813871,0.057,0.001,0.175,0.100,0.073,49.318,2.985,0.566,1292.913,True
16,China,2020-03-11,82,1439323776,0.100,0.006,0.100,0.100,0.100,0.000,0.943,0.095,1208.640,True
