country,Model (1),Model (2),Model (3),Model (4),Model (5),Model (6),Aver,StdDev
US,1.47,3.206,2.057,1.447,1.383,1.383,1.824,0.661
Russia,1.939,1.568,2.898,1.475,2.824,2.814,2.253,0.61
Brazil,2.06,2.063,2.105,2.104,1.545,1.519,1.899,0.26
UK,3.456,3.592,3.988,4.126,1.453,1.453,3.011,1.125
Spain,0.275,0.212,0.276,0.381,0.141,0.141,0.238,0.084
Italy,0.196,1.66,0.21,0.27,0.193,0.208,0.456,0.539
France,0.482,0.582,0.491,0.573,0.253,0.265,0.441,0.134
Germany,0.203,0.204,0.16,0.543,0.296,0.296,0.284,0.126
Turkey,0.072,0.032,0.053,0.032,0.403,0.395,0.164,0.166
Iran,0.741,0.717,0.689,0.764,0.172,0.186,0.545,0.26
India,1.784,1.907,2.012,1.769,1.878,1.87,1.87,0.081
Peru,2.062,1.214,1.986,1.207,1.621,1.733,1.637,0.336
China,0.0,0.002,0.125,0.001,0.0,0.042,0.028,0.046
Canada,1.611,1.054,1.073,1.027,0.66,0.66,1.014,0.319
SaudiArabia,1.765,0.627,1.782,1.479,1.763,1.842,1.543,0.426
Mexico,1.16,1.191,1.181,1.193,1.026,1.014,1.128,0.077
Chile,2.104,2.148,2.144,2.159,1.607,1.607,1.962,0.251
Belgium,1.178,1.229,1.216,1.26,0.323,0.343,0.925,0.419
Pakistan,2.863,2.879,2.862,2.887,1.835,1.015,2.39,0.722
Netherlands,2.616,2.729,2.91,3.287,0.349,0.499,2.065,1.18
Qatar,6.769,6.659,6.784,6.719,5.841,5.841,6.436,0.422
Ecuador,1.427,1.115,1.351,0.956,1.379,1.31,1.256,0.166
Belarus,1.921,1.633,1.603,1.667,1.911,1.982,1.786,0.155
Sweden,2.59,1.343,1.564,1.557,1.054,1.131,1.54,0.508
Switzerland,0.011,0.655,0.971,0.002,0.163,0.163,0.328,0.361
Portugal,1.111,1.658,0.937,1.18,0.962,0.876,1.121,0.262
Singapore,4.198,4.22,1.13,4.237,3.544,3.544,3.479,1.093
Bangladesh,3.025,2.729,3.226,2.343,2.998,0.864,2.531,0.796
UAE,1.209,1.774,1.159,1.786,1.815,1.815,1.593,0.29
Ireland,0.175,0.218,0.809,0.179,0.208,0.217,0.301,0.228
Indonesia,2.385,2.446,2.227,2.308,1.438,1.504,2.051,0.416
Poland,0.699,1.208,1.152,1.385,0.683,0.695,0.97,0.287
Ukraine,1.545,0.987,1.605,1.258,1.504,1.587,1.414,0.223
SA,2.031,2.056,2.032,2.056,1.694,1.533,1.9,0.208
Kuwait,3.314,3.317,3.33,3.329,2.654,1.37,2.886,0.72
Colombia,3.309,3.334,3.174,3.204,2.153,2.017,2.865,0.556
Romania,0.482,0.336,1.365,0.317,0.49,0.52,0.585,0.357
Israel,0.019,1.483,0.952,1.415,0.118,0.114,0.684,0.623
Japan,1.181,0.0,1.18,1.068,1.176,0.594,0.866,0.439
Austria,0.006,0.0,0.006,1.842,0.245,0.245,0.391,0.658
Egypt,3.032,3.042,1.088,1.084,2.245,2.373,2.144,0.806
DR,1.149,1.05,1.227,1.063,1.139,1.214,1.14,0.067
Philippines,2.319,2.087,1.889,2.0,1.014,1.061,1.728,0.505
Denmark,0.317,0.384,0.318,1.709,0.127,0.134,0.498,0.55
Serbia,0.915,0.714,0.976,0.25,0.903,0.958,0.786,0.254
Panama,1.036,0.84,1.195,1.183,1.027,1.052,1.056,0.118
