,Model (1),Model (2),Model (3),Model (4),Model (5),Model (6)
US,5718.773,42416.598,5122.025,5553.919,7266.683,6096.919
Russia,1635.425,1575.577,1594.429,1362.214,2141.889,1833.578
Brazil,2018.3,2005.786,1728.648,1726.35,3341.36,2779.506
UK,2218.434,2224.165,1771.32,1775.938,2476.671,1965.517
Spain,2811.733,10486.218,2718.533,2711.274,2937.847,2800.324
Italy,1668.397,20682.956,3167.462,3200.19,1659.278,3166.074
France,3790.731,3763.948,2966.285,2941.917,3993.987,3100.442
Germany,1886.71,1870.296,1603.869,2955.005,6539.57,5349.683
Turkey,4130.371,4074.611,3572.418,3552.044,6036.277,5034.924
Iran,2124.558,2169.63,1914.86,1774.722,2769.266,2327.572
India,543.442,552.21,518.984,505.434,593.512,551.248
Peru,838.217,6131.15,695.674,5091.593,872.553,718.688
China,389.169,360.115,417.545,428.748,360.661,424.277
Canada,1199.235,315.282,263.765,265.344,478.483,401.209
SaudiArabia,1362.238,1100.256,1129.816,942.59,1362.31,1130.339
Mexico,485.736,479.532,422.366,421.19,516.099,449.414
Chile,500.282,476.633,386.12,387.392,843.656,685.096
Belgium,1119.32,1122.214,868.281,868.956,1260.867,977.59
Pakistan,170.424,173.101,137.16,139.66,274.971,659.561
Netherlands,536.708,539.506,407.081,408.89,561.809,422.94
Qatar,187.441,186.69,154.04,153.526,208.634,171.484
Ecuador,363.05,361.683,305.827,303.655,362.93,305.681
Belarus,231.821,141.108,122.113,122.08,231.772,196.855
Sweden,396.42,355.749,406.525,406.526,357.155,407.724
Switzerland,507.142,1372.912,2042.3,459.339,1395.815,1145.818
Portugal,351.195,349.815,366.222,364.396,350.831,366.155
Singapore,661.11,661.141,1173.537,541.303,727.347,595.487
Bangladesh,160.096,157.884,139.954,145.862,160.209,937.354
UAE,348.674,375.793,292.044,314.339,384.337,321.26
Ireland,896.532,893.89,1959.776,788.051,1139.722,987.953
Indonesia,46.291,46.589,113.887,113.616,92.873,122.196
Poland,207.57,192.0,192.041,194.946,207.57,203.624
Ukraine,167.235,149.463,157.338,141.975,166.855,157.29
SA,179.659,179.689,149.127,149.141,189.043,196.097
Kuwait,97.242,97.254,79.604,79.639,222.246,375.855
Colombia,55.745,52.54,48.159,45.749,132.57,101.285
Romania,252.335,238.489,864.468,230.696,255.641,245.649
Israel,434.786,1721.214,759.348,1377.535,550.762,458.568
Japan,837.196,577.25,699.9,685.631,837.069,1515.345
Austria,352.466,349.268,315.815,2239.9,1231.769,1007.921
Egypt,73.952,74.22,698.876,701.584,100.723,77.611
DR,329.031,326.795,304.489,796.578,329.057,304.458
Philippines,42.761,46.939,85.987,85.708,65.053,90.513
Denmark,213.436,214.211,188.845,980.221,218.846,192.204
Serbia,271.624,262.52,236.686,210.869,271.471,236.894
Panama,594.347,587.096,708.113,712.991,594.45,508.635
