,date,infected,exposed,removed,recovered,succeptable,beta,rcovered
0,2020-02-21,1.0587294690387317e-07,1.0587294690387317e-07,1.512470670055331e-08,,0.9999997731293995,0.142857175267236,1.512470670055331e-08
1,2020-02-22,1.0587294690387317e-07,1.0587294690387317e-07,3.024941340110662e-08,,0.9999997580046928,3.7428580486112257,1.512470670055331e-08
2,2020-02-23,1.0587294690387317e-07,4.870155557578165e-07,4.537412010165993e-08,,0.9999993617373772,-2.4285729786387873,1.512470670055331e-08
3,2020-02-24,1.6032189102586508e-07,1.6032189102586508e-07,6.049882680221324e-08,,0.9999996188573912,0.9353103295324409,1.512470670055331e-08
4,2020-02-25,1.6032189102586508e-07,2.8736942731051285e-07,8.340195409162253e-08,,0.9999994689067275,-0.29110527589785407,1.814964804066397e-08
5,2020-02-26,1.7847153906652905e-07,1.9964612844730367e-07,1.0630508138103183e-07,,0.9999995155772511,0.2953996588368145,1.814964804066397e-08
6,2020-02-27,1.814964804066397e-07,2.2384565916818915e-07,1.3180101553339312e-07,,0.9999994628568449,0.9095242980685599,1.814964804066397e-08
7,2020-02-28,1.8754636308686106e-07,3.5694307813305814e-07,1.5772908416291306e-07,,0.9999992977814747,0.17511533034250065,2.1174589380774633e-08
8,2020-02-29,2.1174589380774635e-07,3.387934300923941e-07,1.8452142174675034e-07,,0.9999992649392544,2.214287341921419,2.1174589380774633e-08
9,2020-03-01,2.2989554184841031e-07,7.592602763677762e-07,2.1477083514785695e-07,,0.9999987960733466,0.43233134756290037,2.1174589380774633e-08
10,2020-03-02,3.055190753511769e-07,7.501854523474439e-07,2.4761305541191556e-07,,0.9999986966824169,1.251769665399668,2.1174589380774633e-08
11,2020-03-03,3.6904284349350074e-07,1.0254551142975146e-06,2.9125863760494083e-07,,0.9999983142434046,2.774009360145324,2.4199530720885297e-08
12,2020-03-04,4.6281602503693126e-07,1.9026881029296064e-06,3.4397904381829805e-07,,0.9999972905168282,0.5284794897961061,2.4199530720885297e-08
13,2020-03-05,6.685120361644563e-07,1.8754636308686101e-06,4.1009561882357393e-07,,0.9999970459287142,3.2559889332262597,2.4199530720885297e-08
14,2020-03-06,8.40933692550764e-07,3.7842016164784386e-06,5.055973382756391e-07,,0.9999948692673527,0.6644432857509495,2.4199530720885297e-08
15,2020-03-07,1.2614005388261461e-06,3.8023512645191012e-06,6.257307229257482e-07,,0.9999943105174738,-0.15450584651292074,2.4199530720885297e-08
16,2020-03-08,1.6243934996394255e-06,3.064265577532101e-06,8.059307999009119e-07,,0.9999945054101229,4.124257830033231,2.4199530720885297e-08
17,2020-03-09,1.8300895107669506e-06,9.325894151561172e-06,1.0379870141351155e-06,,0.9999878060293236,0.9428686401696907,2.4199530720885297e-08
18,2020-03-10,2.900918745166125e-06,9.719136525775554e-06,1.2994283728161084e-06,,0.9999860805163563,1.2523636262070459,2.4199530720885297e-08
19,2020-03-11,3.874949856681758e-06,1.1963643000137671e-05,1.7138453364112692e-06,,0.9999824475618068,1.471532464423693,2.4199530720885297e-08
20,2020-03-12,5.030477448604031e-06,1.5956565569083744e-05,2.26740960165152e-06,,0.9999767455473807,0.8939302458088946,3.629929608132794e-08
21,2020-03-13,6.591347180101133e-06,1.8173847571384862e-05,2.9860492371663815e-06,,0.9999722487560113,1.3709814674075727,3.629929608132794e-08
22,2020-03-14,8.245990093141665e-06,2.4613947684480457e-05,3.927670262895114e-06,,0.9999632123919595,1.6344800007404217,3.629929608132794e-08
23,2020-03-15,1.0584269749047207e-05,3.457507951746487e-05,5.105668847629638e-06,,0.9999497349818859,2.102951415910488,3.629929608132794e-08
24,2020-03-16,1.4011528287392586e-05,5.18928686895984e-05,6.617707383207811e-06,,0.9999274778956398,0.2745696286268235,5.1424002781881256e-08
25,2020-03-17,1.942314834485056e-05,4.832646284960795e-05,8.61935428140675e-06,,0.9999236310345241,5.505837966862068,5.1424002781881256e-08
26,2020-03-18,2.3552193274101616e-05,0.0001483552230843873,1.1394089759242546e-05,,0.9998166984938822,1.231831976246271,3.2064378205173015e-07
27,2020-03-19,4.1381197532713855e-05,0.00015616864656589318,1.4758688798399919e-05,,0.999787691467103,1.4433097686670517,3.266936647319515e-07
28,2020-03-20,5.777940453745376e-05,0.00019357204623636143,2.0670288445930468e-05,,0.9997279782607803,1.5187479990086594,4.446663769962673e-07
29,2020-03-21,7.717835335158342e-05,0.00025364738125095926,2.8924489094138145e-05,,0.9996402497763033,1.2040020489527903,5.172649691589232e-07
30,2020-03-22,0.00010238821448006569,0.0003103015076098918,3.9949968144364346e-05,,0.9995473603097657,0.7759192977672029,0.0
31,2020-03-23,0.00013209011349861227,0.0003453817523311553,5.457685592723087e-05,,0.999467951278243,0.9196993199730369,0.0
32,2020-03-24,0.00016256034761754699,0.0004174600545833119,7.344687214131834e-05,,0.9993465327256579,1.375911075218506,1.0526795863585105e-06
33,2020-03-25,0.00019897459146979912,0.0005813453265078274,9.666977894382504e-05,,0.9991230103030786,0.6672800979328648,1.0920038237799489e-06
34,2020-03-26,0.00025359898218951744,0.0006309513395443022,0.00012509472058236777,,0.9989903549576838,0.7346456798939163,2.0599850526153607e-06
35,2020-03-27,0.00030750646181162955,0.0007269327282660136,0.00016132314660944168,,0.9988042376633129,0.508102662065665,2.6286740245561654e-06
