,date,infected,exposed,removed,recovered,succeptable,beta,rcovered
0,2020-02-22,1.0251187662093804e-06,1.449810826496124e-05,4.9602520945615185e-08,,0.9999844271704479,-0.22235369309091346,1.6534173648538396e-08
1,2020-02-23,2.5627969155234513e-06,1.2659271952763072e-05,1.2282528996057094e-07,,0.9999846551058418,1.9590162360120036,3.306834729707679e-08
2,2020-02-24,3.7863257655152923e-06,1.627316990737218e-05,3.058822124979603e-07,,0.9999796346221146,2.2321103361235664,1.6534173648538396e-08
3,2020-02-25,5.324003914829363e-06,2.2916364676874217e-05,5.763340528919098e-07,,0.9999711832973555,2.7243464747390504,1.6534173648538396e-08
4,2020-02-26,7.489980662787893e-06,3.487411526197787e-05,9.566200468082928e-07,,0.9999566792840284,1.419960599171807,4.9602520945615185e-08
5,2020-02-27,1.0829883739792648e-05,4.163423025942314e-05,1.4916186655788565e-06,,0.9999460442673352,0.7520580260424566,7.440378141842278e-07
6,2020-02-28,1.4682346199902094e-05,4.515246620935143e-05,2.26518178984976e-06,,0.9999379000058009,3.819735275036493,7.605719878327662e-07
7,2020-02-29,1.865054787555131e-05,9.621471848565187e-05,3.3139208041284807e-06,,0.9998818208128347,-0.8915693973681633,7.605719878327662e-07
8,2020-03-01,2.8008890160624042e-05,6.889790159345948e-05,4.646102795239288e-06,,0.9998984471054507,1.0620069897050541,1.3723364128286868e-06
9,2020-03-02,3.366357754842417e-05,9.098519556309985e-05,6.646737806712434e-06,,0.9998687044890817,0.982447262035062,2.463591873632221e-06
10,2020-03-03,4.136850246864306e-05,0.00011394407668649889,9.051279060171303e-06,,0.9998356361417847,1.111722066884783,2.645467783766143e-06
11,2020-03-04,5.10740624003351e-05,0.0001472663416503211,1.2006172093645808e-05,,0.9997896534238557,0.5067430435903931,4.563431926996597e-06
12,2020-03-05,6.378884193606113e-05,0.00015677939656024798,1.5654319407955457e-05,,0.9997637774420958,1.4971691876116002,6.845147890494896e-06
13,2020-03-06,7.6652429034624e-05,0.0002348395923798047,2.021066526053125e-05,,0.9996682973133251,0.9892810622608004,8.64737281818558e-06
14,2020-03-07,9.727054357435138e-05,0.00028455194747894233,2.5685838763004393e-05,,0.9995924916701837,0.955064896859705,9.738628278989114e-06
15,2020-03-08,0.00012193953065797066,0.00034579688869793555,3.263373473260092e-05,,0.9994996298459115,-0.5292139554107881,1.0284256009390882e-05
16,2020-03-09,0.00015165144070439416,0.00024287520077299438,4.134370120817026e-05,,0.9995641296573144,1.5580509230299382,1.1970741721541798e-05
17,2020-03-10,0.00016780532835901618,0.00045206674678670544,5.217594697276984e-05,,0.9993279519778815,-1.6063749455904164,1.1970741721541798e-05
18,2020-03-11,0.00020604887200808547,0.00013245998914805494,6.416204185555671e-05,,0.9995973290969883,3.826941644584699,1.7278211462722624e-05
19,2020-03-12,0.00020604887200808547,0.0009059617007739782,7.887981842756282e-05,,0.9988091096087903,-0.4723395640516597,1.7278211462722624e-05
20,2020-03-13,0.00029199350663318803,0.0007080901586474987,9.359759499956893e-05,,0.9989063187397197,0.44462557650911255,2.379267588024675e-05
21,2020-03-14,0.00034981351188212683,0.0007590992653656426,0.00011445427404479665,,0.9987766329487074,0.19857309882061103,3.250618539302648e-05
22,2020-03-15,0.00040917119528037965,0.0007441334761889085,0.00013944095346494855,,0.9987072543750658,0.39312145208728105,3.860729546933715e-05
23,2020-03-16,0.00046262617868610427,0.0008220980100037849,0.0001686674674135471,,0.9985466083438965,0.4982325514177926,4.545244335983205e-05
24,2020-03-17,0.0005209256749708507,0.0009609142079072985,0.00020171219446255456,,0.9983164479226593,0.6103377801983702,4.8627004700351416e-05
25,2020-03-18,0.0005904849435102517,0.0011715513131028547,0.00023892117124618676,,0.9979990425721407,0.4845529788850128,6.655004893536703e-05
26,2020-03-19,0.0006784798156677731,0.0013269276669277822,0.0002810986672112047,,0.9977134938501933,0.4373156135375637,7.341173099951047e-05
27,2020-03-20,0.0007774533791279238,0.0014755226475320052,0.0003295615111874742,,0.9974174624621526,0.10997664856005791,7.341173099951047e-05
28,2020-03-21,0.0008858679557413901,0.0013968565923494695,0.0003850938954108973,,0.9973321815564983,0.11270288282476411,0.00010039550239392513
29,2020-03-22,0.0009777979612272637,0.0013412238220717515,0.00044837017796385374,,0.9972326080387371,0.2752347066693526,0.00011613603570733368
30,2020-03-23,0.001056980118830114,0.001460578116578531,0.0005182128894800869,,0.9969642288751113,0.2014432880059165,0.00012288197855593735
31,2020-03-24,0.001143767996311292,0.0015105668285800827,0.0005937114693965236,,0.9967519537057121,0.3254097354573172,0.00013766352979773067
32,2020-03-25,0.001229911041020177,0.0017137104100756382,0.0006754091834187588,,0.9963809693654855,0.17348198351455874,0.00015479293369761646
33,2020-03-26,0.0013324725201620607,0.00173589336604996,0.0007632599720630571,,0.9961683741417249,0.19991227451361646,0.0001713105731725063
34,2020-03-27,0.001430172952251274,0.0018083732782631348,0.0008584365806460614,,0.9959030171888396,0.10656456311163584,0.00018104920145149543
35,2020-03-28,0.0015289481056276425,0.0017592242660804504,0.0009605917915211523,,0.9957512358367707,0.05074906413302486,0.00020475920646349948
36,2020-03-29,0.0016152068895520673,0.0016410179156298391,0.0010698023704945553,,0.9956739728243236,0.14042215896453836,0.0002154402826404553
37,2020-03-30,0.0016821702928286478,0.0016845122404247216,0.0011851742911768459,,0.9954481431755697,0.20228476571399834,0.00024172961874163132
38,2020-03-31,0.0017491832986261738,0.0018360727431740512,0.001305329312093178,,0.9951094146461066,0.13665891116457163,0.0002600660173178604
39,2020-04-01,0.0018282497170134845,0.0018699370928310637,0.0014302709762807617,,0.9948715422138746,0.134718790454086,0.00027855122345692634
40,2020-04-02,0.0019054312396048617,0.0019072027582100622,0.001560860241781725,,0.9946265057604033,0.15480410104211956,0.0003022116259479848
41,2020-04-03,0.0019812404257834103,0.0019886748988632344,0.0016969624731820723,,0.9943331222021713,0.10115154722167709,0.0003266822029478216
42,2020-04-04,0.002060687130164637,0.001966980882023949,0.0018384796464523158,,0.9941338523413591,0.07699587243411102,0.0003471515099247121
43,2020-04-05,0.002132048623631729,0.0019061611052702061,0.0019856715843212186,,0.9939761186867768,0.07866987064815852,0.0003606929981428651
44,2020-04-06,0.0021915551145928187,0.0018610830428422702,0.002137960771723485,,0.9938094010708415,0.16422886174402426,0.0003775909236116713
45,2020-04-07,0.0022418024683107268,0.002011984540670466,0.002294500422765829,,0.9934517125682529,0.14327379522023365,0.00040330156363514854
46,2020-04-08,0.0023052275584265203,0.0021075189960117185,0.0024546291705023096,,0.9931326242750594,0.10535755983138036,0.0004380067941234306
47,2020-04-09,0.0023747372244449757,0.002114555467911574,0.0026192882818184895,,0.992891419025825,0.16434854878716276,0.0004707279237738881
48,2020-04-10,0.0024400637445303507,0.0022671151071542365,0.002788912369278845,,0.9925039087790366,0.08762695467595986,0.0005035482584662368
49,2020-04-11,0.00251767515563659,0.0022274260043233223,0.0029632026367452987,,0.9922916962032948,0.06054426203541505,0.0005379228054815481
50,2020-04-12,0.002585332994206409,0.0021311900276144062,0.0031430365764336266,,0.9921404404017455,-0.7385501862256931,0.000565650614690147
51,2020-04-13,0.0026374652437202504,0.0,0.0,,0.0,0.0,0.000585888443235958
