country,confirmed,deaths,recovered
US,938154.0,53755.0,100372.0
Italy,195351.0,26384.0,63120.0
Spain,223759.0,22902.0,95708.0
France,161644.0,22648.0,45372.0
UK,149569.0,20381.0,774.0
Belgium,45325.0,6917.0,10417.0
Germany,156513.0,5877.0,109800.0
Iran,89328.0,5650.0,68193.0
China,83909.0,4636.0,78175.0
Netherlands,37384.0,4424.0,102.0
Brazil,59324.0,4057.0,29160.0
Turkey,107773.0,2706.0,25582.0
Canada,45493.0,2549.0,16013.0
Sweden,18177.0,2192.0,1005.0
Switzerland,28894.0,1599.0,21300.0
Mexico,13842.0,1305.0,7149.0
Ireland,18561.0,1063.0,9233.0
Portugal,23392.0,880.0,1277.0
India,26283.0,825.0,5939.0
Indonesia,8607.0,720.0,1042.0
Peru,25331.0,700.0,7797.0
Russia,74588.0,681.0,6250.0
Romania,10635.0,601.0,2890.0
Ecuador,22719.0,576.0,1366.0
Austria,15148.0,536.0,12103.0
Poland,11273.0,524.0,2126.0
Philippines,7294.0,494.0,792.0
Algeria,3256.0,419.0,1479.0
Denmark,8643.0,418.0,5858.0
Japan,13231.0,360.0,1656.0
Egypt,4319.0,307.0,1114.0
Dominican Republic,5926.0,273.0,822.0
Pakistan,12723.0,269.0,2866.0
Hungary,2443.0,262.0,458.0
"Korea, South",10728.0,242.0,8717.0
Colombia,5142.0,233.0,1067.0
Czechia,7352.0,218.0,2453.0
Norway,7499.0,201.0,32.0
Ukraine,8125.0,201.0,782.0
Israel,15298.0,199.0,6435.0
Finland,4475.0,186.0,2500.0
Argentina,3780.0,185.0,1030.0
Chile,12858.0,181.0,6746.0
Morocco,3897.0,159.0,537.0
Panama,5538.0,159.0,338.0
Bangladesh,4998.0,140.0,113.0
Saudi Arabia,16299.0,136.0,2215.0
Greece,2506.0,130.0,577.0
Serbia,6630.0,125.0,870.0
Malaysia,5742.0,98.0,3762.0
Moldova,3304.0,94.0,825.0
South Africa,4361.0,86.0,1473.0
Iraq,1763.0,86.0,1224.0
Luxembourg,3711.0,85.0,3088.0
Slovenia,1388.0,81.0,219.0
Australia,6694.0,80.0,4223.0
United Arab Emirates,9813.0,71.0,1887.0
Belarus,9590.0,67.0,1573.0
North Macedonia,1367.0,59.0,374.0
Honduras,627.0,59.0,65.0
Bosnia and Herzegovina,1486.0,57.0,592.0
Bulgaria,1247.0,55.0,197.0
Croatia,2016.0,54.0,1034.0
Cameroon,1518.0,53.0,697.0
Thailand,2907.0,51.0,2547.0
Cuba,1337.0,51.0,437.0
Afghanistan,1463.0,47.0,188.0
Bolivia,866.0,46.0,54.0
Estonia,1635.0,46.0,228.0
Burkina Faso,629.0,41.0,442.0
Lithuania,1426.0,41.0,460.0
Andorra,738.0,40.0,344.0
San Marino,513.0,40.0,64.0
Tunisia,939.0,38.0,207.0
Nigeria,1182.0,35.0,222.0
Armenia,1677.0,28.0,803.0
Congo (Kinshasa),416.0,28.0,49.0
Niger,684.0,27.0,325.0
Albania,712.0,27.0,403.0
Kazakhstan,2601.0,25.0,646.0
